"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01945!!Estimate","ZCTA5 01945!!Margin of Error","ZCTA5 01945!!Percent","ZCTA5 01945!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","8,075","±257","8,075","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,132","±261","63.6%","±3.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,169","±203","26.9%","±2.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","301","±121","3.7%","±1.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","48","±41","0.6%","±0.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","776","±154","9.6%","±1.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","70","±51","0.9%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","582","±140","7.2%","±1.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","249","±87","3.1%","±1.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,866","±260","23.1%","±3.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","315","±153","3.9%","±1.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,210","±227","15.0%","±2.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","691","±172","8.6%","±2.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,686","±202","33.3%","±3.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,973","±307","36.8%","±3.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.51","±0.08","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.97","±0.10","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","20,290","±40","20,290","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","8,075","±257","39.8%","±1.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,051","±254","24.9%","±1.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","300","±126","1.5%","±0.6"
"        Child","1,898,296","±5,188","28.1%","±0.1","6,201","±471","30.6%","±2.3"
"        Other relatives","394,812","±8,541","5.9%","±0.1","538","±270","2.7%","±1.3"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","125","±83","0.6%","±0.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","8,000","±303","8,000","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,972","±328","24.7%","±3.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","5,236","±283","65.5%","±3.8"
"        Separated","37,600","±1,670","1.3%","±0.1","30","±36","0.4%","±0.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","140","±61","1.8%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","622","±185","7.8%","±2.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","8,832","±307","8,832","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,027","±344","23.0%","±3.5"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","5,188","±261","58.7%","±3.4"
