"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01225!!Estimate","ZCTA5 01225!!Margin of Error","ZCTA5 01225!!Percent","ZCTA5 01225!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,509","±147","1,509","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","784","±107","52.0%","±9.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","217","±81","14.4%","±6.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","82","±63","5.4%","±4.1"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±13","0.0%","±2.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","299","±127","19.8%","±7.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±2.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","210","±106","13.9%","±6.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","114","±65","7.6%","±4.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","344","±153","22.8%","±9.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","58","±37","3.8%","±2.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","261","±155","17.3%","±9.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","193","±143","12.8%","±8.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","285","±85","18.9%","±6.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","612","±148","40.6%","±7.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.15","±0.21","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.76","±0.25","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","3,243","±16","3,243","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,509","±147","46.5%","±4.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","742","±100","22.9%","±3.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","78","±60","2.4%","±1.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","820","±180","25.3%","±5.6"
