"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01452!!Estimate","ZCTA5 01452!!Margin of Error","ZCTA5 01452!!Percent","ZCTA5 01452!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,586","±129","1,586","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,004","±109","63.3%","±7.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","358","±92","22.6%","±6.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","79","±43","5.0%","±2.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","8","±14","0.5%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","254","±112","16.0%","±6.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","49","±52","3.1%","±3.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","159","±101","10.0%","±5.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","85","±54","5.4%","±3.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","249","±82","15.7%","±4.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","23","±26","1.5%","±1.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","151","±66","9.5%","±3.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","96","±55","6.1%","±3.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","469","±92","29.6%","±7.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","548","±124","34.6%","±6.9"
"        Average household size","2.48","±0.01","(X)","(X)","2.73","±0.23","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.08","±0.21","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","4,333","±19","4,333","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,586","±129","36.6%","±3.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","999","±102","23.1%","±2.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","83","±47","1.9%","±1.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,415","±164","32.7%","±3.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","131","±68","3.0%","±1.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","119","±98","2.7%","±2.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,837","±149","1,837","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","551","±130","30.0%","±5.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,033","±102","56.2%","±7.4"
"        Separated","37,600","±1,670","1.3%","±0.1","23","±34","1.3%","±1.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","38","±28","2.1%","±1.5"
"        Divorced","227,113","±4,005","8.0%","±0.1","192","±102","10.5%","±5.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,755","±167","1,755","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","482","±142","27.5%","±6.5"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,030","±105","58.7%","±6.8"
"        Separated","55,256","±1,859","1.8%","±0.1","8","±13","0.5%","±0.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","70","±40","4.0%","±2.3"
"        Divorced","324,764","±4,024","10.7%","±0.1","165","±80","9.4%","±4.3"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","67","±42","67","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±40.2"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±80","(X)","(X)"
