"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02126!!Estimate","ZCTA5 02126!!Margin of Error","ZCTA5 02126!!Percent","ZCTA5 02126!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","8,785","±533","8,785","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,724","±359","31.0%","±4.2"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,182","±262","13.5%","±3.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","283","±161","3.2%","±1.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","50","±60","0.6%","±0.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,721","±386","19.6%","±4.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","309","±217","3.5%","±2.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,001","±283","11.4%","±3.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","218","±132","2.5%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,057","±523","46.2%","±4.9"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,195","±332","13.6%","±3.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,302","±302","14.8%","±3.4"
"                65 years and over","221,896","±3,548","8.2%","±0.1","470","±190","5.4%","±2.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,359","±446","38.2%","±4.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,648","±354","30.1%","±4.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.89","±0.17","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.53","±0.22","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","25,347","±1,724","25,347","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","8,785","±533","34.7%","±2.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,758","±337","10.9%","±1.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","299","±171","1.2%","±0.6"
"        Child","1,898,296","±5,188","28.1%","±0.1","9,038","±865","35.7%","±2.3"
"        Other relatives","394,812","±8,541","5.9%","±0.1","3,767","±854","14.9%","±2.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","700","±291","2.8%","±1.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","9,388","±830","9,388","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","5,000","±698","53.3%","±5.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,531","±505","37.6%","±4.6"
"        Separated","37,600","±1,670","1.3%","±0.1","229","±131","2.4%","±1.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","98","±75","1.0%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","530","±216","5.6%","±2.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","11,080","±916","11,080","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","5,240","±610","47.3%","±3.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,366","±457","30.4%","±3.7"
"        Separated","55,256","±1,859","1.8%","±0.1","298","±170","2.7%","±1.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","805","±238","7.3%","±2.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,371","±332","12.4%","±3.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","323","±154","323","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","246","±141","76.2%","±19.5"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","53","±29","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","50","±23","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","70","±61","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","93","±55","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","9","±13","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","1,324","±445","1,324","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","207","±126","15.6%","±10.1"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","50","±47","3.8%","±3.9"
"            1 or 2 years","6,316","±677","5.0%","±0.5","93","±97","7.0%","±7.5"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±25","0.0%","±3.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","64","±60","4.8%","±4.5"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","207","±126","207","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","195","±123","94.2%","±9.0"
"        Who are married","19,550","±1,487","64.5%","±2.5","12","±19","5.8%","±9.0"
