"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01119!!Estimate","ZCTA5 01119!!Margin of Error","ZCTA5 01119!!Percent","ZCTA5 01119!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,230","±391","5,230","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,019","±347","38.6%","±5.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","663","±243","12.7%","±4.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","282","±116","5.4%","±2.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","37","±32","0.7%","±0.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","782","±247","15.0%","±4.4"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","51","±61","1.0%","±1.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","520","±174","9.9%","±3.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","284","±146","5.4%","±2.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,147","±296","41.1%","±5.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","652","±172","12.5%","±3.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,059","±209","20.2%","±3.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","476","±142","9.1%","±2.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,626","±321","31.1%","±5.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,744","±243","33.3%","±3.9"
"        Average household size","2.48","±0.01","(X)","(X)","2.42","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.06","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","12,678","±1,192","12,678","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,230","±391","41.3%","±2.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,017","±378","15.9%","±2.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","329","±155","2.6%","±1.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,864","±545","30.5%","±2.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","952","±329","7.5%","±2.3"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","286","±122","2.3%","±1.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,115","±685","5,115","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,136","±504","41.8%","±6.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,271","±380","44.4%","±6.8"
"        Separated","37,600","±1,670","1.3%","±0.1","48","±48","0.9%","±1.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","63","±44","1.2%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","597","±208","11.7%","±3.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","6,118","±563","6,118","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,749","±467","44.9%","±5.5"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,103","±344","34.4%","±5.0"
"        Separated","55,256","±1,859","1.8%","±0.1","107","±69","1.7%","±1.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","614","±194","10.0%","±3.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","545","±147","8.9%","±2.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","100","±64","100","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","35","±44","35.0%","±39.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","15","±19","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","30","±20","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","12","±22","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","63","±45","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±32","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","382","±281","382","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","234","±251","61.3%","±31.7"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","25","±33","6.5%","±11.1"
"            1 or 2 years","6,316","±677","5.0%","±0.5","186","±248","48.7%","±41.3"
"            3 or 4 years","5,630","±671","4.5%","±0.5","23","±26","6.0%","±8.6"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±21","0.0%","±9.9"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","234","±251","234","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","105","±124","44.9%","±17.8"
"        Who are married","19,550","±1,487","64.5%","±2.5","209","±251","89.3%","±24.9"
"SCHOOL ENROLLMENT","","","","","","","",""
