"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02132!!Estimate","ZCTA5 02132!!Margin of Error","ZCTA5 02132!!Percent","ZCTA5 02132!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","10,941","±585","10,941","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,625","±368","51.4%","±3.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,131","±284","19.5%","±2.7"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","511","±177","4.7%","±1.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","71","±52","0.6%","±0.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,783","±381","16.3%","±3.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","33","±32","0.3%","±0.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,203","±292","11.0%","±2.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","508","±175","4.6%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","3,022","±376","27.6%","±3.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","420","±265","3.8%","±2.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,057","±294","18.8%","±2.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","940","±205","8.6%","±1.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,780","±411","25.4%","±3.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,594","±303","32.8%","±2.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.38","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.00","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","26,072","±1,394","26,072","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","10,941","±585","42.0%","±1.6"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,505","±374","21.1%","±1.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","552","±185","2.1%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","6,959","±699","26.7%","±1.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,298","±463","5.0%","±1.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","817","±295","3.1%","±1.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","10,625","±688","10,625","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","3,177","±475","29.9%","±3.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","6,168","±408","58.1%","±3.6"
"        Separated","37,600","±1,670","1.3%","±0.1","208","±127","2.0%","±1.2"
"        Widowed","65,484","±1,934","2.3%","±0.1","333","±136","3.1%","±1.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","739","±233","7.0%","±2.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","11,421","±663","11,421","(X)"
