"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01507!!Estimate","ZCTA5 01507!!Margin of Error","ZCTA5 01507!!Percent","ZCTA5 01507!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","4,776","±245","4,776","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,891","±294","60.5%","±5.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,179","±196","24.7%","±4.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","236","±156","4.9%","±3.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","120","±138","2.5%","±2.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","786","±198","16.5%","±3.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","77","±79","1.6%","±1.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","543","±168","11.4%","±3.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","167","±83","3.5%","±1.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","863","±211","18.1%","±4.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","237","±144","5.0%","±3.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","343","±145","7.2%","±2.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","148","±78","3.1%","±1.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,810","±185","37.9%","±4.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,369","±250","28.7%","±4.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.76","±0.14","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.16","±0.14","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","13,203","±119","13,203","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","4,776","±245","36.2%","±1.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,864","±302","21.7%","±2.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","243","±161","1.8%","±1.2"
