"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01523!!Estimate","ZCTA5 01523!!Margin of Error","ZCTA5 01523!!Percent","ZCTA5 01523!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,801","±243","2,801","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,607","±203","57.4%","±8.2"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","657","±174","23.5%","±6.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","142","±95","5.1%","±3.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","26","±33","0.9%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","378","±251","13.5%","±8.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","9","±16","0.3%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","287","±233","10.2%","±7.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","78","±76","2.8%","±2.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","674","±201","24.1%","±6.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","57","±65","2.0%","±2.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","492","±193","17.6%","±6.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","368","±150","13.1%","±5.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","829","±158","29.6%","±6.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","948","±168","33.8%","±5.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.50","±0.19","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.11","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","7,001","±294","7,001","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,801","±243","40.0%","±3.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,551","±198","22.2%","±2.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","146","±98","2.1%","±1.4"
