"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01007!!Estimate","ZCTA5 01007!!Margin of Error","ZCTA5 01007!!Percent","ZCTA5 01007!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,917","±306","5,917","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,455","±286","58.4%","±5.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,267","±208","21.4%","±3.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","503","±185","8.5%","±3.1"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","48","±72","0.8%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","620","±241","10.5%","±4.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","27","±44","0.5%","±0.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","394","±178","6.7%","±2.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","145","±88","2.5%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,339","±346","22.6%","±5.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","166","±102","2.8%","±1.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","808","±259","13.7%","±4.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","520","±204","8.8%","±3.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,669","±167","28.2%","±3.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,964","±246","33.2%","±3.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.59","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.05","±0.15","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","15,299","±67","15,299","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,917","±306","38.7%","±2.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,557","±285","23.2%","±1.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","513","±196","3.4%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,451","±411","29.1%","±2.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","729","±369","4.8%","±2.4"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","132","±87","0.9%","±0.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","6,235","±325","6,235","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,130","±341","34.2%","±4.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,661","±279","58.7%","±4.8"
"        Separated","37,600","±1,670","1.3%","±0.1","43","±53","0.7%","±0.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","110","±81","1.8%","±1.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","291","±136","4.7%","±2.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","6,424","±376","6,424","(X)"
