"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01128!!Estimate","ZCTA5 01128!!Margin of Error","ZCTA5 01128!!Percent","ZCTA5 01128!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,136","±184","1,136","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","594","±157","52.3%","±9.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","217","±128","19.1%","±9.6"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","62","±45","5.5%","±3.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","27","±36","2.4%","±3.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","155","±74","13.6%","±6.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","10","±17","0.9%","±1.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","110","±62","9.7%","±5.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","29","±20","2.6%","±1.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","325","±118","28.6%","±9.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","32","±34","2.8%","±2.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","181","±98","15.9%","±7.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","137","±92","12.1%","±7.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","298","±138","26.2%","±9.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","438","±112","38.6%","±8.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.85","±0.46","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.40","±0.50","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","3,232","±842","3,232","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,136","±184","35.1%","±5.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","617","±174","19.1%","±2.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","58","±43","1.8%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,053","±531","32.6%","±8.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","266","±121","8.2%","±4.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","102","±79","3.2%","±2.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,325","±242","1,325","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","487","±167","36.8%","±9.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","693","±179","52.3%","±10.1"
"        Separated","37,600","±1,670","1.3%","±0.1","20","±31","1.5%","±2.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±13","0.0%","±3.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","125","±58","9.4%","±4.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,205","±251","1,205","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","300","±124","24.9%","±8.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","713","±188","59.2%","±8.3"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±3.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","129","±59","10.7%","±4.8"
"        Divorced","324,764","±4,024","10.7%","±0.1","63","±41","5.2%","±3.5"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","59","±40","59","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±42.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±138","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","93","±66","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±480","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","166","±162","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","64","±85","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","23","±34","23","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±13","0.0%","±68.6"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±68.6"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±68.6"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±68.6"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±68.6"
