"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01570!!Estimate","ZCTA5 01570!!Margin of Error","ZCTA5 01570!!Percent","ZCTA5 01570!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","7,414","±279","7,414","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,979","±302","40.2%","±3.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","890","±170","12.0%","±2.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","585","±186","7.9%","±2.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","169","±109","2.3%","±1.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,276","±246","17.2%","±3.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","67","±62","0.9%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","902","±198","12.2%","±2.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","318","±116","4.3%","±1.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,574","±306","34.7%","±3.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","707","±203","9.5%","±2.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,281","±247","17.3%","±3.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","779","±221","10.5%","±2.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,124","±234","28.6%","±3.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,334","±297","31.5%","±3.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.34","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.85","±0.12","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","17,352","±135","17,352","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","7,414","±279","42.7%","±1.6"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,956","±298","17.0%","±1.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","563","±172","3.2%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,624","±466","26.6%","±2.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","953","±301","5.5%","±1.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","842","±248","4.9%","±1.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","6,839","±385","6,839","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,658","±422","38.9%","±4.9"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,144","±285","46.0%","±4.6"
"        Separated","37,600","±1,670","1.3%","±0.1","41","±36","0.6%","±0.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","69","±38","1.0%","±0.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","927","±272","13.6%","±4.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","7,965","±393","7,965","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,432","±325","30.5%","±3.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,235","±371","40.6%","±4.1"
"        Separated","55,256","±1,859","1.8%","±0.1","162","±68","2.0%","±0.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","979","±266","12.3%","±3.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,157","±252","14.5%","±3.1"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","131","±62","131","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","32","±31","24.4%","±20.2"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","13","±12","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","33","±15","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±71","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","60","±30","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","17","±17","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","326","±146","326","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","45","±47","13.8%","±13.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","5","±13","1.5%","±3.8"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±11.5"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±21","0.0%","±11.5"
"            5 or more years","13,647","±1,024","10.9%","±0.8","40","±44","12.3%","±12.8"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","45","±47","45","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","42","±45","93.3%","±15.9"
"        Who are married","19,550","±1,487","64.5%","±2.5","5","±13","11.1%","±29.1"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","3,746","±460","3,746","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","83","±59","2.2%","±1.6"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","298","±174","8.0%","±4.7"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,747","±365","46.6%","±7.2"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","763","±231","20.4%","±5.6"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","855","±277","22.8%","±7.0"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","12,951","±503","12,951","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","300","±102","2.3%","±0.8"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","760","±238","5.9%","±1.8"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","4,449","±498","34.4%","±3.5"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","2,779","±371","21.5%","±2.9"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,149","±240","8.9%","±1.8"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","2,558","±378","19.8%","±2.7"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","956","±212","7.4%","±1.6"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","11,891","±539","91.8%","±2.1"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","3,514","±465","27.1%","±3.3"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","14,009","±420","14,009","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","1,229","±252","8.8%","±1.7"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","17,266","±204","17,266","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","3,005","±454","17.4%","±2.6"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","3,550","±418","3,550","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","306","±276","8.6%","±7.3"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","10,616","±430","10,616","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","1,568","±324","14.8%","±2.8"
"    65 years and over","1,122,280","±664","1,122,280","(X)","3,100","±339","3,100","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","1,131","±270","36.5%","±6.7"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","17,525","±75","17,525","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","14,967","±525","85.4%","±3.0"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","2,558","±523","14.6%","±3.0"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","2,443","±482","13.9%","±2.8"
"                Same county","446,141","±8,933","6.4%","±0.1","1,948","±469","11.1%","±2.7"
"                Different county","354,693","±6,215","5.1%","±0.1","495","±221","2.8%","±1.3"
"                    Same state","205,752","±5,091","3.0%","±0.1","196","±75","1.1%","±0.4"
"                    Different state","148,941","±3,990","2.2%","±0.1","299","±211","1.7%","±1.2"
"            Abroad","61,536","±2,941","0.9%","±0.1","115","±102","0.7%","±0.6"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","17,664","±31","17,664","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","16,242","±351","91.9%","±2.0"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","15,656","±405","88.6%","±2.3"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","12,848","±579","72.7%","±3.3"
"                Different state","1,398,292","±9,460","20.0%","±0.1","2,808","±481","15.9%","±2.7"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","586","±240","3.3%","±1.4"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","1,422","±351","8.1%","±2.0"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","1,422","±351","1,422","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","894","±294","62.9%","±10.1"
