"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01005!!Estimate","ZCTA5 01005!!Margin of Error","ZCTA5 01005!!Percent","ZCTA5 01005!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,761","±182","1,761","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,074","±194","61.0%","±10.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","282","±108","16.0%","±6.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","157","±120","8.9%","±6.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","63","±78","3.6%","±4.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","239","±128","13.6%","±6.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","16","±28","0.9%","±1.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","144","±95","8.2%","±5.1"
"                65 years and over","102,147","±2,741","3.8%","±0.1","47","±55","2.7%","±3.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","291","±121","16.5%","±6.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","73","±64","4.1%","±3.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","106","±73","6.0%","±3.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","67","±53","3.8%","±2.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","474","±123","26.9%","±7.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","497","±163","28.2%","±9.1"
"        Average household size","2.48","±0.01","(X)","(X)","2.69","±0.21","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.91","±0.20","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","4,729","±393","4,729","(X)"
