"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02131!!Estimate","ZCTA5 02131!!Margin of Error","ZCTA5 02131!!Percent","ZCTA5 02131!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","12,450","±493","12,450","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","4,871","±386","39.1%","±2.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,204","±303","17.7%","±2.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","820","±190","6.6%","±1.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","326","±157","2.6%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,470","±386","19.8%","±2.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","116","±70","0.9%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,391","±296","11.2%","±2.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","302","±89","2.4%","±0.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,289","±367","34.4%","±2.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","873","±189","7.0%","±1.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,067","±269","16.6%","±2.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","900","±189","7.2%","±1.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,787","±344","30.4%","±2.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,119","±318","25.1%","±2.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.58","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.17","±0.09","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","32,130","±1,576","32,130","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","12,450","±493","38.7%","±1.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","4,952","±395","15.4%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","775","±173","2.4%","±0.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","9,984","±790","31.1%","±1.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","2,718","±486","8.5%","±1.4"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,251","±365","3.9%","±1.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","12,796","±931","12,796","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","5,783","±841","45.2%","±4.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","5,524","±421","43.2%","±3.9"
"        Separated","37,600","±1,670","1.3%","±0.1","392","±220","3.1%","±1.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","175","±77","1.4%","±0.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","922","±254","7.2%","±1.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","14,261","±866","14,261","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","5,419","±581","38.0%","±2.5"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","5,504","±390","38.6%","±2.4"
"        Separated","55,256","±1,859","1.8%","±0.1","500","±135","3.5%","±1.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,032","±233","7.2%","±1.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,806","±264","12.7%","±1.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","355","±152","355","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","64","±46","18.0%","±13.5"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","13","±9","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","42","±18","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±39","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","57","±24","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","42","±31","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","344","±117","344","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","81","±73","23.5%","±18.7"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","37","±59","10.8%","±15.8"
"            1 or 2 years","6,316","±677","5.0%","±0.5","33","±41","9.6%","±11.3"
"            3 or 4 years","5,630","±671","4.5%","±0.5","11","±18","3.2%","±5.4"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±28","0.0%","±11.0"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","81","±73","81","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","62","±53","76.5%","±26.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","37","±59","45.7%","±51.4"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","7,969","±708","7,969","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","384","±128","4.8%","±1.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","663","±257","8.3%","±3.0"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","3,079","±416","38.6%","±4.1"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,492","±279","18.7%","±2.9"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","2,351","±370","29.5%","±4.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","23,695","±1,245","23,695","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","1,255","±295","5.3%","±1.1"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","1,110","±239","4.7%","±1.0"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","4,461","±518","18.8%","±1.9"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","3,997","±626","16.9%","±2.4"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,460","±286","6.2%","±1.2"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","5,675","±653","24.0%","±2.3"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","5,737","±579","24.2%","±2.5"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","21,330","±1,124","90.0%","±1.5"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","11,412","±790","48.2%","±2.7"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","25,897","±1,364","25,897","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","784","±181","3.0%","±0.7"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","32,157","±1,577","32,157","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","3,561","±462","11.1%","±1.3"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","6,700","±659","6,700","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","185","±77","2.8%","±1.2"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","21,498","±1,200","21,498","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","2,069","±435","9.6%","±1.9"
"    65 years and over","1,122,280","±664","1,122,280","(X)","3,959","±447","3,959","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","1,307","±195","33.0%","±3.9"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","32,226","±1,633","32,226","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","28,676","±1,407","89.0%","±2.5"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","3,550","±869","11.0%","±2.5"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","3,420","±849","10.6%","±2.4"
"                Same county","446,141","±8,933","6.4%","±0.1","2,040","±633","6.3%","±1.8"
"                Different county","354,693","±6,215","5.1%","±0.1","1,380","±461","4.3%","±1.4"
"                    Same state","205,752","±5,091","3.0%","±0.1","811","±340","2.5%","±1.0"
"                    Different state","148,941","±3,990","2.2%","±0.1","569","±322","1.8%","±1.0"
"            Abroad","61,536","±2,941","0.9%","±0.1","130","±103","0.4%","±0.3"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","32,609","±1,632","32,609","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","23,702","±1,401","72.7%","±2.1"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","22,480","±1,381","68.9%","±2.1"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","16,294","±1,162","50.0%","±2.2"
"                Different state","1,398,292","±9,460","20.0%","±0.1","6,186","±595","19.0%","±1.6"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","1,222","±260","3.7%","±0.8"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","8,907","±777","27.3%","±2.1"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","8,907","±777","8,907","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","6,002","±670","67.4%","±5.0"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","2,905","±520","32.6%","±5.0"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","10,129","±797","10,129","(X)"
"        Native","209,292","±4,176","209,292","(X)","1,222","±260","1,222","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","158","±120","12.9%","±8.9"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","1,064","±233","87.1%","±8.9"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","8,907","±777","8,907","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","2,015","±446","22.6%","±4.3"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","6,892","±660","77.4%","±4.3"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","8,907","±777","8,907","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","985","±223","11.1%","±2.4"
"        Asia","372,717","±3,581","30.8%","±0.3","738","±219","8.3%","±2.5"
"        Africa","113,823","±3,313","9.4%","±0.3","800","±374","9.0%","±4.1"
"        Oceania","4,098","±490","0.3%","±0.1","18","±20","0.2%","±0.2"
