"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01608!!Estimate","ZCTA5 01608!!Margin of Error","ZCTA5 01608!!Percent","ZCTA5 01608!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,945","±238","1,945","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","277","±118","14.2%","±6.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","136","±80","7.0%","±4.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","315","±103","16.2%","±5.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","71","±62","3.7%","±3.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","710","±200","36.5%","±9.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","152","±156","7.8%","±7.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","466","±129","24.0%","±7.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","27","±32","1.4%","±1.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","643","±185","33.1%","±7.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","233","±137","12.0%","±6.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","300","±107","15.4%","±5.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","0","±13","0.0%","±2.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","612","±229","31.5%","±9.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","125","±70","6.4%","±3.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.38","±0.25","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.30","±0.53","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","4,635","±864","4,635","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,945","±238","42.0%","±4.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","262","±108","5.7%","±2.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","361","±120","7.8%","±2.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,456","±548","31.4%","±7.4"
"        Other relatives","394,812","±8,541","5.9%","±0.1","114","±81","2.5%","±1.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","497","±228","10.7%","±4.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,747","±299","1,747","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,294","±299","74.1%","±8.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","331","±120","18.9%","±7.0"
"        Separated","37,600","±1,670","1.3%","±0.1","32","±36","1.8%","±2.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±13","0.0%","±2.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","90","±57","5.2%","±3.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,778","±320","1,778","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,066","±245","60.0%","±9.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","364","±128","20.5%","±6.8"
"        Separated","55,256","±1,859","1.8%","±0.1","104","±96","5.8%","±5.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","46","±57","2.6%","±3.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","198","±109","11.1%","±5.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","119","±89","119","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","80","±73","67.2%","±34.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","76","±68","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","86","±64","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±411","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","108","±87","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","39","±61","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","71","±66","71","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","13","±22","18.3%","±33.8"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","13","±22","18.3%","±33.8"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±39.0"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±39.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±39.0"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","13","±22","13","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","13","±22","100.0%","±91.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","13","±22","100.0%","±91.2"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,177","±302","1,177","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","40","±39","3.4%","±3.0"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","10","±27","0.8%","±2.1"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","384","±184","32.6%","±11.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","182","±108","15.5%","±8.7"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","561","±172","47.7%","±11.7"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","2,700","±399","2,700","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","350","±187","13.0%","±6.6"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","231","±112","8.6%","±4.0"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","605","±220","22.4%","±6.9"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","443","±150","16.4%","±5.1"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","200","±98","7.4%","±3.5"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","626","±189","23.2%","±6.1"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","245","±92","9.1%","±3.6"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","2,119","±375","78.5%","±8.0"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","871","±205","32.3%","±6.7"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","3,397","±484","3,397","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","97","±57","2.9%","±1.7"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","4,773","±874","4,773","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","436","±153","9.1%","±3.4"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","1,376","±533","1,376","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","67","±74","4.9%","±5.2"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","3,243","±481","3,243","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","297","±127","9.2%","±4.1"
"    65 years and over","1,122,280","±664","1,122,280","(X)","154","±90","154","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","72","±58","46.8%","±27.5"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","4,756","±872","4,756","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","3,186","±730","67.0%","±9.2"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","1,570","±517","33.0%","±9.2"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","1,378","±488","29.0%","±8.9"
"                Same county","446,141","±8,933","6.4%","±0.1","1,000","±479","21.0%","±9.1"
"                Different county","354,693","±6,215","5.1%","±0.1","378","±139","7.9%","±3.1"
"                    Same state","205,752","±5,091","3.0%","±0.1","82","±42","1.7%","±0.9"
"                    Different state","148,941","±3,990","2.2%","±0.1","296","±132","6.2%","±2.8"
"            Abroad","61,536","±2,941","0.9%","±0.1","192","±157","4.0%","±3.2"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","4,782","±873","4,782","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","3,393","±835","71.0%","±8.4"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","2,766","±766","57.8%","±9.3"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","2,068","±628","43.2%","±7.9"
"                Different state","1,398,292","±9,460","20.0%","±0.1","698","±226","14.6%","±4.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","627","±215","13.1%","±4.0"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","1,389","±399","29.0%","±8.4"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","1,389","±399","1,389","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","605","±260","43.6%","±13.5"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","784","±281","56.4%","±13.5"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","2,016","±477","2,016","(X)"
"        Native","209,292","±4,176","209,292","(X)","627","±215","627","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","184","±137","29.3%","±19.5"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","443","±195","70.7%","±19.5"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","1,389","±399","1,389","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","844","±308","60.8%","±14.0"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","545","±246","39.2%","±14.0"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","1,389","±399","1,389","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","171","±121","12.3%","±8.6"
"        Asia","372,717","±3,581","30.8%","±0.3","401","±169","28.9%","±11.8"
"        Africa","113,823","±3,313","9.4%","±0.3","185","±180","13.3%","±12.4"
"        Oceania","4,098","±490","0.3%","±0.1","0","±13","0.0%","±2.8"
"        Latin America","456,601","±7,328","37.7%","±0.5","632","±317","45.5%","±15.9"
"        Northern America","28,855","±1,370","2.4%","±0.1","0","±13","0.0%","±2.8"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
