"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01966!!Estimate","ZCTA5 01966!!Margin of Error","ZCTA5 01966!!Percent","ZCTA5 01966!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,319","±167","3,319","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,581","±154","47.6%","±4.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","316","±115","9.5%","±3.7"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","247","±97","7.4%","±3.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","87","±62","2.6%","±1.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","409","±125","12.3%","±3.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","31","±37","0.9%","±1.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","319","±127","9.6%","±3.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","177","±99","5.3%","±2.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,082","±213","32.6%","±5.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","83","±77","2.5%","±2.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","776","±171","23.4%","±4.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","479","±127","14.4%","±3.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","551","±148","16.6%","±4.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,784","±213","53.8%","±5.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.10","±0.10","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.63","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","6,958","±91","6,958","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,319","±167","47.7%","±2.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,581","±149","22.7%","±2.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","235","±95","3.4%","±1.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,486","±197","21.4%","±2.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","267","±122","3.8%","±1.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","70","±52","1.0%","±0.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,761","±231","2,761","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","737","±147","26.7%","±4.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,598","±147","57.9%","±5.0"
"        Separated","37,600","±1,670","1.3%","±0.1","42","±41","1.5%","±1.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","170","±125","6.2%","±4.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","214","±85","7.8%","±2.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","3,586","±210","3,586","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","842","±168","23.5%","±3.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,711","±158","47.7%","±5.3"
"        Separated","55,256","±1,859","1.8%","±0.1","26","±24","0.7%","±0.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","374","±110","10.4%","±2.8"
"        Divorced","324,764","±4,024","10.7%","±0.1","633","±139","17.7%","±3.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","0","±19","0","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","-","**"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±53","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","0","±34","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±246","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±87","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±68","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","53","±39","53","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","14","±22","26.4%","±37.9"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","14","±22","26.4%","±37.9"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±19","0.0%","±45.2"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","0.0%","±45.2"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±19","0.0%","±45.2"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","14","±22","14","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","14","±22","100.0%","±87.9"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±19","0.0%","±87.9"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,022","±189","1,022","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","72","±54","7.0%","±5.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","7","±11","0.7%","±1.2"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","399","±143","39.0%","±10.7"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","291","±115","28.5%","±10.0"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","253","±97","24.8%","±9.0"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","5,670","±230","5,670","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","48","±39","0.8%","±0.7"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","192","±104","3.4%","±1.8"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","694","±166","12.2%","±2.9"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","942","±210","16.6%","±3.6"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","494","±110","8.7%","±1.9"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,723","±228","30.4%","±3.7"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","1,577","±198","27.8%","±3.5"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","5,430","±245","95.8%","±2.0"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","3,300","±266","58.2%","±4.2"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","6,109","±225","6,109","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","503","±153","8.2%","±2.4"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","6,958","±91","6,958","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","874","±187","12.6%","±2.7"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","905","±225","905","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","46","±34","5.1%","±4.0"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","3,528","±265","3,528","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","186","±74","5.3%","±2.0"
"    65 years and over","1,122,280","±664","1,122,280","(X)","2,525","±328","2,525","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","642","±165","25.4%","±5.9"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","7,014","±15","7,014","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","6,440","±308","91.8%","±4.4"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","574","±306","8.2%","±4.4"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","574","±306","8.2%","±4.4"
"                Same county","446,141","±8,933","6.4%","±0.1","363","±257","5.2%","±3.7"
"                Different county","354,693","±6,215","5.1%","±0.1","211","±129","3.0%","±1.8"
"                    Same state","205,752","±5,091","3.0%","±0.1","127","±98","1.8%","±1.4"
"                    Different state","148,941","±3,990","2.2%","±0.1","84","±86","1.2%","±1.2"
"            Abroad","61,536","±2,941","0.9%","±0.1","0","±19","0.0%","±0.6"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","7,014","±15","7,014","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","6,768","±93","96.5%","±1.3"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","6,669","±106","95.1%","±1.5"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","4,763","±292","67.9%","±4.2"
"                Different state","1,398,292","±9,460","20.0%","±0.1","1,906","±264","27.2%","±3.8"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","99","±82","1.4%","±1.2"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","246","±91","3.5%","±1.3"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","246","±91","246","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","192","±83","78.0%","±13.5"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","54","±35","22.0%","±13.5"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","345","±106","345","(X)"
