"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01011!!Estimate","ZCTA5 01011!!Margin of Error","ZCTA5 01011!!Percent","ZCTA5 01011!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","498","±63","498","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","281","±60","56.4%","±8.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","100","±47","20.1%","±8.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","41","±20","8.2%","±3.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","7","±7","1.4%","±1.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","88","±31","17.7%","±6.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","3","±4","0.6%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","73","±31","14.7%","±6.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","37","±21","7.4%","±4.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","88","±31","17.7%","±6.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","21","±19","4.2%","±3.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","29","±20","5.8%","±4.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","15","±14","3.0%","±2.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","141","±51","28.3%","±8.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","185","±41","37.1%","±7.9"
"        Average household size","2.48","±0.01","(X)","(X)","2.65","±0.36","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.07","±0.46","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,318","±264","1,318","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","498","±63","37.8%","±5.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","297","±70","22.5%","±3.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","42","±22","3.2%","±1.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","398","±175","30.2%","±8.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","37","±16","2.8%","±1.4"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","46","±27","3.5%","±2.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","531","±83","531","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","159","±40","29.9%","±6.9"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","294","±70","55.4%","±8.6"
"        Separated","37,600","±1,670","1.3%","±0.1","12","±9","2.3%","±1.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","14","±13","2.6%","±2.4"
"        Divorced","227,113","±4,005","8.0%","±0.1","52","±20","9.8%","±3.6"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","537","±87","537","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","139","±48","25.9%","±7.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","300","±64","55.9%","±8.2"
"        Separated","55,256","±1,859","1.8%","±0.1","5","±9","0.9%","±1.6"
"        Widowed","239,073","±3,906","7.9%","±0.1","40","±24","7.4%","±4.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","53","±24","9.9%","±4.5"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","0","±13","0","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","-","**"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±246","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","0","±137","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±475","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±306","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±282","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","16","±14","16","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","13","±13","81.3%","±35.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","8","±12","50.0%","±45.2"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±82.3"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±82.3"
"            5 or more years","13,647","±1,024","10.9%","±0.8","5","±6","31.3%","±37.7"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","13","±13","13","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","9","±9","69.2%","±26.9"
"        Who are married","19,550","±1,487","64.5%","±2.5","8","±12","61.5%","±48.6"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","341","±172","341","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","11","±11","3.2%","±3.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","3","±6","0.9%","±1.7"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","175","±102","51.3%","±15.5"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","115","±94","33.7%","±16.3"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","37","±20","10.9%","±8.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","934","±126","934","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","9","±8","1.0%","±0.8"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","86","±34","9.2%","±3.5"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","438","±100","46.9%","±8.3"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","149","±49","16.0%","±4.6"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","69","±24","7.4%","±2.7"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","73","±25","7.8%","±2.7"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","110","±46","11.8%","±4.4"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","839","±120","89.8%","±3.5"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","183","±57","19.6%","±5.4"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","1,016","±132","1,016","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","109","±32","10.7%","±3.4"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","1,332","±265","1,332","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","212","±54","15.9%","±4.1"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","316","±171","316","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","44","±42","13.9%","±12.1"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","778","±132","778","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","82","±26","10.5%","±3.7"
"    65 years and over","1,122,280","±664","1,122,280","(X)","238","±49","238","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","86","±30","36.1%","±10.9"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","1,329","±265","1,329","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","1,257","±261","94.6%","±2.9"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","72","±38","5.4%","±2.9"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","60","±33","4.5%","±2.5"
"                Same county","446,141","±8,933","6.4%","±0.1","36","±22","2.7%","±1.7"
"                Different county","354,693","±6,215","5.1%","±0.1","24","±20","1.8%","±1.5"
"                    Same state","205,752","±5,091","3.0%","±0.1","17","±17","1.3%","±1.3"
"                    Different state","148,941","±3,990","2.2%","±0.1","7","±10","0.5%","±0.8"
"            Abroad","61,536","±2,941","0.9%","±0.1","12","±19","0.9%","±1.4"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","1,332","±265","1,332","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","1,288","±264","96.7%","±2.5"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","1,288","±264","96.7%","±2.5"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","944","±171","70.9%","±8.4"
"                Different state","1,398,292","±9,460","20.0%","±0.1","344","±156","25.8%","±8.2"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","0","±13","0.0%","±3.0"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","44","±32","3.3%","±2.5"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","44","±32","44","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","19","±18","43.2%","±27.9"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","25","±22","56.8%","±27.9"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","44","±32","44","(X)"
"        Native","209,292","±4,176","209,292","(X)","0","±13","0","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","0","±13","-","**"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","0","±13","-","**"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","44","±32","44","(X)"
