"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02121!!Estimate","ZCTA5 02121!!Margin of Error","ZCTA5 02121!!Percent","ZCTA5 02121!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","10,718","±644","10,718","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,277","±532","21.2%","±4.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","925","±259","8.6%","±2.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","402","±150","3.8%","±1.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","183","±94","1.7%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,312","±359","21.6%","±3.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","175","±124","1.6%","±1.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,376","±301","12.8%","±2.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","341","±134","3.2%","±1.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","5,727","±517","53.4%","±4.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,953","±342","18.2%","±3.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,086","±397","19.5%","±3.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","757","±183","7.1%","±1.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,753","±472","35.0%","±4.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,681","±394","25.0%","±3.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.78","±0.16","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.55","±0.19","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","29,770","±2,152","29,770","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","10,718","±644","36.0%","±2.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,078","±433","7.0%","±1.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","429","±166","1.4%","±0.6"
"        Child","1,898,296","±5,188","28.1%","±0.1","10,721","±1,209","36.0%","±2.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","3,740","±560","12.6%","±1.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","2,084","±681","7.0%","±2.1"
"MARITAL STATUS","","","","","","","",""
