"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02061!!Estimate","ZCTA5 02061!!Margin of Error","ZCTA5 02061!!Percent","ZCTA5 02061!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,567","±136","3,567","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,668","±135","74.8%","±4.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,515","±139","42.5%","±4.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","133","±104","3.7%","±2.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","13","±15","0.4%","±0.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","256","±82","7.2%","±2.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±21","0.0%","±1.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","227","±71","6.4%","±1.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","118","±57","3.3%","±1.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","510","±136","14.3%","±3.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","115","±71","3.2%","±2.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","241","±84","6.8%","±2.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","176","±76","4.9%","±2.1"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,676","±148","47.0%","±4.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,064","±121","29.8%","±3.3"
"        Average household size","2.48","±0.01","(X)","(X)","3.09","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.46","±0.12","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","11,039","±107","11,039","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,567","±136","32.3%","±1.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,681","±137","24.3%","±1.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","123","±92","1.1%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,356","±211","39.5%","±1.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","301","±110","2.7%","±1.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","11","±20","0.1%","±0.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","4,190","±205","4,190","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,219","±230","29.1%","±4.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,720","±145","64.9%","±4.4"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±21","0.0%","±0.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","96","±51","2.3%","±1.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","155","±72","3.7%","±1.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","4,461","±246","4,461","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,041","±200","23.3%","±3.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,758","±161","61.8%","±4.5"
"        Separated","55,256","±1,859","1.8%","±0.1","32","±29","0.7%","±0.6"
"        Widowed","239,073","±3,906","7.9%","±0.1","296","±87","6.6%","±1.8"
"        Divorced","324,764","±4,024","10.7%","±0.1","334","±126","7.5%","±2.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","144","±87","144","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","12","±27","8.3%","±19.6"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","11","±27","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","56","±34","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±97","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","47","±37","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","76","±61","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","133","±71","133","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","8","±12","6.0%","±9.1"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±25.5"
"            1 or 2 years","6,316","±677","5.0%","±0.5","8","±12","6.0%","±9.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±21","0.0%","±25.5"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±21","0.0%","±25.5"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","8","±12","8","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±21","0.0%","±100.0"
"        Who are married","19,550","±1,487","64.5%","±2.5","8","±12","100.0%","±100.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","3,412","±299","3,412","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","444","±129","13.0%","±3.6"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","114","±56","3.3%","±1.7"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,398","±197","41.0%","±5.1"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","915","±191","26.8%","±5.0"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","541","±151","15.9%","±3.9"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","7,254","±205","7,254","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","47","±42","0.6%","±0.6"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","76","±42","1.0%","±0.6"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,075","±188","14.8%","±2.6"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","745","±161","10.3%","±2.3"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","529","±161","7.3%","±2.2"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","2,913","±323","40.2%","±4.2"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","1,869","±262","25.8%","±3.5"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","7,131","±200","98.3%","±0.7"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","4,782","±336","65.9%","±4.1"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","7,953","±241","7,953","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","465","±119","5.8%","±1.5"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","11,088","±109","11,088","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","922","±162","8.3%","±1.5"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","3,305","±243","3,305","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","156","±72","4.7%","±2.2"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","6,256","±237","6,256","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","331","±149","5.3%","±2.3"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,527","±153","1,527","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","435","±107","28.5%","±6.2"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","11,113","±106","11,113","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","10,200","±321","91.8%","±2.7"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","913","±304","8.2%","±2.7"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","903","±304","8.1%","±2.7"
"                Same county","446,141","±8,933","6.4%","±0.1","262","±120","2.4%","±1.1"
"                Different county","354,693","±6,215","5.1%","±0.1","641","±300","5.8%","±2.7"
"                    Same state","205,752","±5,091","3.0%","±0.1","525","±281","4.7%","±2.5"
"                    Different state","148,941","±3,990","2.2%","±0.1","116","±94","1.0%","±0.8"
"            Abroad","61,536","±2,941","0.9%","±0.1","10","±15","0.1%","±0.1"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","11,258","±19","11,258","(X)"
