"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01062!!Estimate","ZCTA5 01062!!Margin of Error","ZCTA5 01062!!Percent","ZCTA5 01062!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","4,162","±287","4,162","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,993","±200","47.9%","±4.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","747","±134","17.9%","±2.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","338","±141","8.1%","±3.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","99","±113","2.4%","±2.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","637","±202","15.3%","±4.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","37","±33","0.9%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","553","±195","13.3%","±4.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","242","±147","5.8%","±3.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,194","±194","28.7%","±4.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","102","±59","2.5%","±1.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","793","±161","19.1%","±3.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","346","±101","8.3%","±2.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,013","±187","24.3%","±3.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,643","±227","39.5%","±4.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.28","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.88","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","9,471","±696","9,471","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","4,162","±287","43.9%","±2.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,923","±170","20.3%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","346","±151","3.7%","±1.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,546","±353","26.9%","±2.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","287","±160","3.0%","±1.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","207","±93","2.2%","±0.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,996","±317","3,996","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,392","±249","34.8%","±5.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,069","±173","51.8%","±4.8"
"        Separated","37,600","±1,670","1.3%","±0.1","11","±17","0.3%","±0.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","136","±81","3.4%","±2.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","388","±176","9.7%","±4.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","4,377","±395","4,377","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,265","±251","28.9%","±4.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,012","±217","46.0%","±4.3"
"        Separated","55,256","±1,859","1.8%","±0.1","28","±33","0.6%","±0.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","369","±126","8.4%","±2.8"
"        Divorced","324,764","±4,024","10.7%","±0.1","703","±154","16.1%","±3.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","72","±47","72","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","0.0%","±38.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±35","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","37","±23","(X)","(X)"
