"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01887!!Estimate","ZCTA5 01887!!Margin of Error","ZCTA5 01887!!Percent","ZCTA5 01887!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","7,756","±348","7,756","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,255","±340","67.8%","±4.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,104","±247","27.1%","±3.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","439","±156","5.7%","±2.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","75","±72","1.0%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","801","±198","10.3%","±2.4"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","25","±29","0.3%","±0.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","531","±180","6.8%","±2.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","229","±98","3.0%","±1.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,261","±258","16.3%","±3.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","215","±123","2.8%","±1.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","562","±209","7.2%","±2.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","296","±137","3.8%","±1.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,662","±228","34.3%","±3.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,153","±236","27.8%","±2.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.97","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.29","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","23,065","±154","23,065","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","7,756","±348","33.6%","±1.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,245","±358","22.7%","±1.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","473","±173","2.1%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","7,860","±578","34.1%","±2.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,127","±293","4.9%","±1.3"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","604","±232","2.6%","±1.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","9,518","±500","9,518","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,972","±473","31.2%","±4.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","5,625","±362","59.1%","±4.1"
"        Separated","37,600","±1,670","1.3%","±0.1","55","±37","0.6%","±0.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","275","±101","2.9%","±1.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","591","±213","6.2%","±2.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","9,435","±499","9,435","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,250","±359","23.8%","±3.2"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","5,467","±339","57.9%","±3.8"
"        Separated","55,256","±1,859","1.8%","±0.1","51","±37","0.5%","±0.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","635","±198","6.7%","±2.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,032","±262","10.9%","±2.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","199","±97","199","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","29","±36","14.6%","±17.7"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","12","±15","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","39","±19","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±47","(X)","(X)"
