"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01337!!Estimate","ZCTA5 01337!!Margin of Error","ZCTA5 01337!!Percent","ZCTA5 01337!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,007","±93","1,007","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","591","±77","58.7%","±6.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","222","±71","22.0%","±6.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","83","±37","8.2%","±3.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","4","±7","0.4%","±0.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","156","±45","15.5%","±4.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","36","±33","3.6%","±3.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","99","±32","9.8%","±3.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","41","±19","4.1%","±1.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","177","±59","17.6%","±5.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","23","±18","2.3%","±1.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","110","±49","10.9%","±4.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","47","±20","4.7%","±2.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","297","±71","29.5%","±5.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","352","±45","35.0%","±4.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.47","±0.15","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.94","±0.19","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","2,492","±249","2,492","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,007","±93","40.4%","±2.6"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","559","±64","22.4%","±2.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","78","±30","3.1%","±1.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","707","±131","28.4%","±3.1"
"        Other relatives","394,812","±8,541","5.9%","±0.1","106","±40","4.3%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","35","±24","1.4%","±1.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,048","±96","1,048","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","338","±67","32.3%","±5.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","581","±73","55.4%","±5.9"
"        Separated","37,600","±1,670","1.3%","±0.1","2","±3","0.2%","±0.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","10","±9","1.0%","±0.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","117","±45","11.2%","±4.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,055","±118","1,055","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","196","±65","18.6%","±5.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","605","±79","57.3%","±5.9"
"        Separated","55,256","±1,859","1.8%","±0.1","13","±11","1.2%","±1.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","72","±33","6.8%","±3.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","169","±61","16.0%","±5.6"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","4","±5","4","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±100.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±168","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","9","±12","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±428","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±190","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","19","±26","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","70","±40","70","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","25","±33","35.7%","±37.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±39.3"
"            1 or 2 years","6,316","±677","5.0%","±0.5","25","±33","35.7%","±37.2"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±39.3"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±39.3"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","25","±33","25","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","12","±15","48.0%","±6.9"
"        Who are married","19,550","±1,487","64.5%","±2.5","25","±33","100.0%","±65.8"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","622","±114","622","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","36","±18","5.8%","±2.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","24","±21","3.9%","±3.1"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","272","±83","43.7%","±9.1"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","145","±46","23.3%","±7.5"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","145","±58","23.3%","±8.4"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","1,900","±178","1,900","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","12","±10","0.6%","±0.5"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","78","±34","4.1%","±1.7"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","588","±123","30.9%","±5.4"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","375","±86","19.7%","±4.3"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","239","±78","12.6%","±4.0"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","348","±73","18.3%","±3.6"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","260","±75","13.7%","±3.8"
