"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01029!!Estimate","ZCTA5 01029!!Margin of Error","ZCTA5 01029!!Percent","ZCTA5 01029!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","228","±58","228","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","128","±43","56.1%","±12.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","47","±28","20.6%","±10.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","12","±18","5.3%","±8.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±13","0.0%","±16.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","55","±30","24.1%","±10.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±16.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","55","±30","24.1%","±10.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","16","±13","7.0%","±5.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","33","±21","14.5%","±9.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","0","±13","0.0%","±16.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","27","±21","11.8%","±9.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","21","±19","9.2%","±8.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","55","±32","24.1%","±12.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","79","±31","34.6%","±12.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.24","±0.41","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.02","±0.52","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","511","±152","511","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","228","±58","44.6%","±8.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","110","±36","21.5%","±3.8"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","12","±19","2.3%","±3.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","123","±71","24.1%","±8.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","38","±28","7.4%","±5.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","0","±13","0.0%","±7.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","276","±89","276","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","71","±36","25.7%","±10.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","123","±41","44.6%","±8.3"
"        Separated","37,600","±1,670","1.3%","±0.1","25","±24","9.1%","±7.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","14","±12","5.1%","±4.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","43","±30","15.6%","±9.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","188","±55","188","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","36","±26","19.1%","±11.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","128","±41","68.1%","±12.1"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±19.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","18","±17","9.6%","±8.9"
"        Divorced","324,764","±4,024","10.7%","±0.1","6","±9","3.2%","±4.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","0","±13","0","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","-","**"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±527","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","0","±436","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","-","**","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±541","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±736","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","22","±22","22","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","20","±20","90.9%","±13.9"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","8","±11","36.4%","±37.7"
"            1 or 2 years","6,316","±677","5.0%","±0.5","5","±8","22.7%","±22.5"
"            3 or 4 years","5,630","±671","4.5%","±0.5","7","±9","31.8%","±26.9"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±70.1"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","20","±20","20","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","15","±14","75.0%","±22.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","20","±20","100.0%","±73.6"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","73","±47","73","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","0","±13","0.0%","±38.5"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","8","±8","11.0%","±9.1"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","30","±37","41.1%","±30.0"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","27","±20","37.0%","±26.2"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","8","±11","11.0%","±16.8"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","408","±112","408","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","2","±4","0.5%","±0.9"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","97","±60","23.8%","±11.4"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","132","±60","32.4%","±10.4"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","55","±30","13.5%","±7.2"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","14","±10","3.4%","±2.6"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","69","±37","16.9%","±9.6"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","39","±26","9.6%","±6.5"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","309","±80","75.7%","±11.3"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","108","±43","26.5%","±11.4"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","437","±123","437","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","17","±11","3.9%","±2.8"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","511","±152","511","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","78","±44","15.3%","±7.7"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","74","±53","74","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","3","±7","4.1%","±8.5"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","329","±114","329","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","41","±30","12.5%","±8.8"
"    65 years and over","1,122,280","±664","1,122,280","(X)","108","±47","108","(X)"
