"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01118!!Estimate","ZCTA5 01118!!Margin of Error","ZCTA5 01118!!Percent","ZCTA5 01118!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,785","±333","5,785","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,632","±377","45.5%","±5.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","883","±157","15.3%","±2.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","441","±163","7.6%","±2.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","197","±134","3.4%","±2.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","854","±204","14.8%","±3.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","87","±82","1.5%","±1.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","575","±199","9.9%","±3.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","113","±84","2.0%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,858","±282","32.1%","±5.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","647","±212","11.2%","±3.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","823","±177","14.2%","±3.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","414","±134","7.2%","±2.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,016","±263","34.8%","±3.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,495","±186","25.8%","±3.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.59","±0.10","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.01","±0.15","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","14,975","±1,073","14,975","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,785","±333","38.6%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,556","±346","17.1%","±1.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","433","±170","2.9%","±1.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,782","±507","31.9%","±2.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","927","±243","6.2%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","492","±340","3.3%","±2.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,657","±577","5,657","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,134","±366","37.7%","±4.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,806","±372","49.6%","±4.9"
"        Separated","37,600","±1,670","1.3%","±0.1","37","±38","0.7%","±0.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","116","±79","2.1%","±1.4"
"        Divorced","227,113","±4,005","8.0%","±0.1","564","±177","10.0%","±2.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","6,286","±516","6,286","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,357","±355","37.5%","±4.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,781","±383","44.2%","±5.0"
"        Separated","55,256","±1,859","1.8%","±0.1","64","±95","1.0%","±1.5"
"        Widowed","239,073","±3,906","7.9%","±0.1","485","±128","7.7%","±2.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","599","±207","9.5%","±3.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","171","±95","171","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","102","±84","59.6%","±26.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","47","±39","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","52","±29","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","9","±32","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","82","±59","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","38","±30","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
