"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01731!!Estimate","ZCTA5 01731!!Margin of Error","ZCTA5 01731!!Percent","ZCTA5 01731!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","478","±91","478","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","440","±86","92.1%","±5.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","386","±82","80.8%","±8.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","0","±13","0.0%","±8.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±13","0.0%","±8.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","9","±11","1.9%","±2.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","4","±7","0.8%","±1.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","5","±8","1.0%","±1.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","0","±13","0.0%","±8.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","29","±22","6.1%","±4.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","19","±18","4.0%","±3.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","10","±13","2.1%","±2.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","0","±13","0.0%","±8.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","409","±85","85.6%","±7.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","0","±13","0.0%","±8.0"
"        Average household size","2.48","±0.01","(X)","(X)","3.87","±0.62","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.95","±0.60","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,852","±486","1,852","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","478","±91","25.8%","±4.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","450","±101","24.3%","±2.8"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","0","±13","0.0%","±2.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","904","±333","48.8%","±6.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","11","±16","0.6%","±0.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","9","±18","0.5%","±0.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","558","±136","558","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","93","±64","16.7%","±9.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","461","±103","82.6%","±9.3"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±6.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±13","0.0%","±6.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","4","±7","0.7%","±1.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","527","±104","527","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","68","±58","12.9%","±9.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","435","±82","82.5%","±10.4"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±7.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","0","±13","0.0%","±7.3"
"        Divorced","324,764","±4,024","10.7%","±0.1","24","±23","4.6%","±4.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","17","±23","17","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±79.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±364","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","35","±45","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±448","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","34","±70","(X)","(X)"
