"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01754!!Estimate","ZCTA5 01754!!Margin of Error","ZCTA5 01754!!Percent","ZCTA5 01754!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","4,269","±287","4,269","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,299","±203","53.9%","±6.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,113","±242","26.1%","±6.6"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","279","±133","6.5%","±3.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","30","±36","0.7%","±0.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","779","±221","18.2%","±4.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","52","±56","1.2%","±1.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","600","±204","14.1%","±4.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","104","±67","2.4%","±1.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","912","±217","21.4%","±4.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","175","±96","4.1%","±2.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","546","±161","12.8%","±3.4"
"                65 years and over","221,896","±3,548","8.2%","±0.1","215","±110","5.0%","±2.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,465","±217","34.3%","±6.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","984","±184","23.0%","±3.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.50","±0.17","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.08","±0.19","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","10,678","±32","10,678","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","4,269","±287","40.0%","±2.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,317","±175","21.7%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","283","±133","2.7%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,248","±387","30.4%","±3.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","450","±204","4.2%","±1.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","111","±74","1.0%","±0.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","4,219","±293","4,219","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,169","±246","27.7%","±4.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,547","±182","60.4%","±5.7"
"        Separated","37,600","±1,670","1.3%","±0.1","25","±31","0.6%","±0.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","116","±87","2.7%","±2.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","362","±180","8.6%","±4.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","4,304","±301","4,304","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,128","±229","26.2%","±4.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,356","±166","54.7%","±5.3"
"        Separated","55,256","±1,859","1.8%","±0.1","67","±60","1.6%","±1.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","313","±125","7.3%","±2.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","440","±174","10.2%","±3.8"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","137","±91","137","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","18","±30","13.1%","±19.6"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","17","±29","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","54","±37","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±179","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","128","±87","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","12","±22","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","170","±98","170","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","16","±26","9.4%","±16.1"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±20.8"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±20.8"
"            3 or 4 years","5,630","±671","4.5%","±0.5","16","±26","9.4%","±16.1"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±21","0.0%","±20.8"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","16","±26","16","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","16","±26","100.0%","±82.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±21","0.0%","±82.3"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","2,203","±318","2,203","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","232","±225","10.5%","±9.6"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","179","±95","8.1%","±4.4"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,030","±260","46.8%","±8.7"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","371","±131","16.8%","±6.4"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","391","±154","17.7%","±6.9"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","7,701","±417","7,701","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","174","±116","2.3%","±1.5"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","99","±77","1.3%","±1.0"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,281","±269","16.6%","±3.2"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,206","±299","15.7%","±3.7"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","543","±191","7.1%","±2.3"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","2,212","±369","28.7%","±5.3"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","2,186","±433","28.4%","±5.4"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","7,428","±386","96.5%","±1.7"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","4,398","±406","57.1%","±5.8"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","8,257","±382","8,257","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","513","±176","6.2%","±2.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","10,702","±22","10,702","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","1,369","±297","12.8%","±2.8"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","2,445","±384","2,445","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","332","±205","13.6%","±8.1"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","6,921","±314","6,921","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","548","±223","7.9%","±3.2"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,336","±245","1,336","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","489","±186","36.6%","±11.5"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","10,549","±104","10,549","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","9,699","±392","91.9%","±3.4"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","850","±354","8.1%","±3.4"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","816","±352","7.7%","±3.4"
"                Same county","446,141","±8,933","6.4%","±0.1","619","±338","5.9%","±3.2"
"                Different county","354,693","±6,215","5.1%","±0.1","197","±136","1.9%","±1.3"
"                    Same state","205,752","±5,091","3.0%","±0.1","142","±104","1.3%","±1.0"
"                    Different state","148,941","±3,990","2.2%","±0.1","55","±70","0.5%","±0.7"
"            Abroad","61,536","±2,941","0.9%","±0.1","34","±52","0.3%","±0.5"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","10,702","±22","10,702","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","9,581","±387","89.5%","±3.6"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","9,398","±392","87.8%","±3.7"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","7,154","±644","66.8%","±6.0"
"                Different state","1,398,292","±9,460","20.0%","±0.1","2,244","±438","21.0%","±4.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","183","±121","1.7%","±1.1"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","1,121","±389","10.5%","±3.6"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","1,121","±389","1,121","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","872","±326","77.8%","±8.7"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","249","±124","22.2%","±8.7"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","1,304","±393","1,304","(X)"
"        Native","209,292","±4,176","209,292","(X)","183","±121","183","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","27","±44","14.8%","±22.9"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","156","±111","85.2%","±22.9"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","1,121","±389","1,121","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","141","±155","12.6%","±12.8"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","980","±346","87.4%","±12.8"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","1,121","±389","1,121","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","171","±101","15.3%","±9.8"
"        Asia","372,717","±3,581","30.8%","±0.3","367","±226","32.7%","±17.0"
"        Africa","113,823","±3,313","9.4%","±0.3","113","±162","10.1%","±13.7"
"        Oceania","4,098","±490","0.3%","±0.1","0","±21","0.0%","±3.5"
"        Latin America","456,601","±7,328","37.7%","±0.5","355","±262","31.7%","±18.7"
"        Northern America","28,855","±1,370","2.4%","±0.1","115","±67","10.3%","±7.5"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","9,976","±245","9,976","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","8,655","±531","86.8%","±4.8"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","1,321","±475","13.2%","±4.8"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","499","±259","5.0%","±2.6"
"        Spanish","623,189","±4,858","9.4%","±0.1","234","±117","2.3%","±1.2"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","47","±59","0.5%","±0.6"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","806","±390","8.1%","±3.9"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","266","±188","2.7%","±1.9"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","195","±123","2.0%","±1.2"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","100","±77","1.0%","±0.8"
"        Other languages","99,560","±3,943","1.5%","±0.1","86","±159","0.9%","±1.6"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","86","±159","0.9%","±1.6"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","10,702","±22","10,702","(X)"
"        American","260,364","±6,504","3.7%","±0.1","568","±423","5.3%","±3.9"
"        Arab","72,487","±3,641","1.0%","±0.1","172","±136","1.6%","±1.3"
"        Czech","12,119","±1,098","0.2%","±0.1","47","±42","0.4%","±0.4"
"        Danish","14,346","±1,162","0.2%","±0.1","98","±98","0.9%","±0.9"
"        Dutch","34,354","±1,922","0.5%","±0.1","76","±105","0.7%","±1.0"
"        English","655,283","±8,406","9.4%","±0.1","1,643","±377","15.4%","±3.5"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","305","±128","2.8%","±1.2"
"        French Canadian","235,524","±4,384","3.4%","±0.1","825","±345","7.7%","±3.2"
"        German","387,135","±7,027","5.5%","±0.1","767","±282","7.2%","±2.6"
"        Greek","76,566","±3,218","1.1%","±0.1","114","±120","1.1%","±1.1"
"        Hungarian","19,068","±1,432","0.3%","±0.1","16","±26","0.1%","±0.2"
"        Irish","1,345,219","±11,619","19.2%","±0.2","2,734","±490","25.5%","±4.6"
"        Italian","815,794","±9,186","11.7%","±0.1","1,486","±366","13.9%","±3.4"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","47","±44","0.4%","±0.4"
"        Norwegian","35,032","±1,997","0.5%","±0.1","186","±128","1.7%","±1.2"
"        Polish","283,050","±4,814","4.0%","±0.1","398","±179","3.7%","±1.7"
"        Portuguese","270,183","±5,260","3.9%","±0.1","142","±96","1.3%","±0.9"
"        Russian","91,511","±3,161","1.3%","±0.1","275","±168","2.6%","±1.6"
"        Scotch-Irish","41,714","±2,151","0.6%","±0.1","113","±66","1.1%","±0.6"
"        Scottish","134,503","±3,385","1.9%","±0.1","346","±217","3.2%","±2.0"
"        Slovak","7,069","±828","0.1%","±0.1","20","±32","0.2%","±0.3"
"        Subsaharan African","158,921","±4,752","2.3%","±0.1","54","±101","0.5%","±0.9"
"        Swedish","102,031","±2,873","1.5%","±0.1","168","±115","1.6%","±1.1"
"        Swiss","10,126","±912","0.1%","±0.1","22","±28","0.2%","±0.3"
"        Ukrainian","24,760","±1,792","0.4%","±0.1","21","±36","0.2%","±0.3"
"        Welsh","23,388","±1,506","0.3%","±0.1","0","±21","0.0%","±0.4"
"        West Indian (excluding Hispanic origin groups)","139,627","±4,694","2.0%","±0.1","76","±83","0.7%","±0.8"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","4,269","±287","4,269","(X)"
"        With a computer","2,538,022","±5,269","93.5%","±0.1","4,208","±276","98.6%","±1.4"
"        With a broadband Internet subscription","2,431,466","±6,695","89.6%","±0.2","4,144","±276","97.1%","±2.1"
