"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01504!!Estimate","ZCTA5 01504!!Margin of Error","ZCTA5 01504!!Percent","ZCTA5 01504!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,874","±264","3,874","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,954","±200","50.4%","±6.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","947","±157","24.4%","±4.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","239","±92","6.2%","±2.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","75","±48","1.9%","±1.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","533","±168","13.8%","±4.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","50","±74","1.3%","±1.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","359","±151","9.3%","±3.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","107","±89","2.8%","±2.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,148","±338","29.6%","±7.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","59","±45","1.5%","±1.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","930","±323","24.0%","±7.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","740","±324","19.1%","±7.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,176","±159","30.4%","±5.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,362","±334","35.2%","±7.0"
"        Average household size","2.48","±0.01","(X)","(X)","2.36","±0.16","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.06","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","9,140","±27","9,140","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,874","±264","42.4%","±2.9"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,921","±168","21.0%","±1.8"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","241","±92","2.6%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,736","±256","29.9%","±2.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","221","±106","2.4%","±1.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","147","±107","1.6%","±1.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,550","±244","3,550","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,109","±238","31.2%","±5.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,971","±178","55.5%","±5.4"
"        Separated","37,600","±1,670","1.3%","±0.1","60","±76","1.7%","±2.1"
"        Widowed","65,484","±1,934","2.3%","±0.1","99","±84","2.8%","±2.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","311","±126","8.8%","±3.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","4,121","±279","4,121","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","870","±167","21.1%","±3.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,003","±189","48.6%","±6.1"
"        Separated","55,256","±1,859","1.8%","±0.1","74","±56","1.8%","±1.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","642","±319","15.6%","±7.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","532","±137","12.9%","±3.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","188","±118","188","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","0.0%","±19.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±41","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","91","±56","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±184","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","113","±81","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","91","±94","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","85","±84","85","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","17","±28","20.0%","±28.7"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","17","±28","20.0%","±28.7"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±19","0.0%","±35.4"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","0.0%","±35.4"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±19","0.0%","±35.4"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","17","±28","17","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±19","0.0%","±79.8"
"        Who are married","19,550","±1,487","64.5%","±2.5","17","±28","100.0%","±79.8"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,856","±232","1,856","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","126","±76","6.8%","±4.2"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","104","±79","5.6%","±4.3"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","825","±237","44.5%","±10.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","513","±166","27.6%","±8.3"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","288","±147","15.5%","±8.0"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","6,727","±279","6,727","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","69","±44","1.0%","±0.6"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","171","±74","2.5%","±1.1"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","2,129","±337","31.6%","±4.9"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,134","±223","16.9%","±3.3"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","769","±164","11.4%","±2.3"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,643","±316","24.4%","±4.4"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","812","±168","12.1%","±2.6"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","6,487","±272","96.4%","±1.2"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","2,455","±339","36.5%","±4.8"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","7,230","±255","7,230","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","458","±150","6.3%","±2.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","9,167","±25","9,167","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","1,172","±287","12.8%","±3.1"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","1,958","±256","1,958","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","57","±39","2.9%","±2.0"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","5,626","±336","5,626","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","448","±134","8.0%","±2.4"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,583","±347","1,583","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","667","±235","42.1%","±12.9"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","9,013","±101","9,013","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","8,207","±307","91.1%","±3.1"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","806","±278","8.9%","±3.1"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","790","±273","8.8%","±3.0"
"                Same county","446,141","±8,933","6.4%","±0.1","356","±203","3.9%","±2.3"
"                Different county","354,693","±6,215","5.1%","±0.1","434","±186","4.8%","±2.1"
"                    Same state","205,752","±5,091","3.0%","±0.1","333","±162","3.7%","±1.8"
"                    Different state","148,941","±3,990","2.2%","±0.1","101","±67","1.1%","±0.7"
"            Abroad","61,536","±2,941","0.9%","±0.1","16","±24","0.2%","±0.3"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","9,188","±23","9,188","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","8,558","±241","93.1%","±2.6"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","8,451","±265","92.0%","±2.9"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","4,999","±510","54.4%","±5.5"
"                Different state","1,398,292","±9,460","20.0%","±0.1","3,452","±442","37.6%","±4.8"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","107","±89","1.2%","±1.0"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","630","±239","6.9%","±2.6"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","630","±239","630","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","368","±196","58.4%","±21.9"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","262","±165","41.6%","±21.9"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","737","±264","737","(X)"
"        Native","209,292","±4,176","209,292","(X)","107","±89","107","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","25","±27","23.4%","±20.0"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","82","±72","76.6%","±20.0"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","630","±239","630","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","201","±161","31.9%","±22.1"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","429","±208","68.1%","±22.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","630","±239","630","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","130","±67","20.6%","±9.4"
"        Asia","372,717","±3,581","30.8%","±0.3","82","±100","13.0%","±14.6"
"        Africa","113,823","±3,313","9.4%","±0.3","166","±174","26.3%","±24.4"
"        Oceania","4,098","±490","0.3%","±0.1","0","±19","0.0%","±6.1"
"        Latin America","456,601","±7,328","37.7%","±0.5","176","±138","27.9%","±21.0"
"        Northern America","28,855","±1,370","2.4%","±0.1","76","±67","12.1%","±10.0"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","8,670","±209","8,670","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","7,541","±397","87.0%","±4.5"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","1,129","±396","13.0%","±4.5"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","335","±156","3.9%","±1.8"
"        Spanish","623,189","±4,858","9.4%","±0.1","325","±235","3.7%","±2.7"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","99","±130","1.1%","±1.5"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","586","±349","6.8%","±4.0"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","133","±82","1.5%","±0.9"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","119","±105","1.4%","±1.2"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","45","±68","0.5%","±0.8"
"        Other languages","99,560","±3,943","1.5%","±0.1","99","±152","1.1%","±1.7"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","58","±83","0.7%","±1.0"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","9,188","±23","9,188","(X)"
"        American","260,364","±6,504","3.7%","±0.1","274","±177","3.0%","±1.9"
"        Arab","72,487","±3,641","1.0%","±0.1","0","±19","0.0%","±0.4"
"        Czech","12,119","±1,098","0.2%","±0.1","0","±19","0.0%","±0.4"
"        Danish","14,346","±1,162","0.2%","±0.1","98","±105","1.1%","±1.1"
"        Dutch","34,354","±1,922","0.5%","±0.1","0","±19","0.0%","±0.4"
"        English","655,283","±8,406","9.4%","±0.1","889","±335","9.7%","±3.6"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","1,540","±429","16.8%","±4.7"
"        French Canadian","235,524","±4,384","3.4%","±0.1","1,422","±415","15.5%","±4.5"
"        German","387,135","±7,027","5.5%","±0.1","462","±185","5.0%","±2.0"
"        Greek","76,566","±3,218","1.1%","±0.1","125","±118","1.4%","±1.3"
"        Hungarian","19,068","±1,432","0.3%","±0.1","0","±19","0.0%","±0.4"
"        Irish","1,345,219","±11,619","19.2%","±0.2","1,966","±389","21.4%","±4.2"
"        Italian","815,794","±9,186","11.7%","±0.1","1,335","±354","14.5%","±3.9"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","0","±19","0.0%","±0.4"
"        Norwegian","35,032","±1,997","0.5%","±0.1","8","±13","0.1%","±0.1"
"        Polish","283,050","±4,814","4.0%","±0.1","409","±165","4.5%","±1.8"
"        Portuguese","270,183","±5,260","3.9%","±0.1","402","±243","4.4%","±2.6"
"        Russian","91,511","±3,161","1.3%","±0.1","66","±103","0.7%","±1.1"
"        Scotch-Irish","41,714","±2,151","0.6%","±0.1","44","±65","0.5%","±0.7"
"        Scottish","134,503","±3,385","1.9%","±0.1","326","±140","3.5%","±1.5"
"        Slovak","7,069","±828","0.1%","±0.1","1","±3","0.0%","±0.1"
"        Subsaharan African","158,921","±4,752","2.3%","±0.1","272","±351","3.0%","±3.8"
"        Swedish","102,031","±2,873","1.5%","±0.1","397","±239","4.3%","±2.6"
"        Swiss","10,126","±912","0.1%","±0.1","0","±19","0.0%","±0.4"
"        Ukrainian","24,760","±1,792","0.4%","±0.1","69","±44","0.8%","±0.5"
"        Welsh","23,388","±1,506","0.3%","±0.1","14","±11","0.2%","±0.1"
"        West Indian (excluding Hispanic origin groups)","139,627","±4,694","2.0%","±0.1","18","±30","0.2%","±0.3"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,874","±264","3,874","(X)"
"        With a computer","2,538,022","±5,269","93.5%","±0.1","3,520","±276","90.9%","±4.8"
"        With a broadband Internet subscription","2,431,466","±6,695","89.6%","±0.2","3,618","±272","93.4%","±2.5"
