"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01469!!Estimate","ZCTA5 01469!!Margin of Error","ZCTA5 01469!!Percent","ZCTA5 01469!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,831","±163","2,831","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,706","±176","60.3%","±6.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","653","±134","23.1%","±5.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","200","±85","7.1%","±3.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","53","±51","1.9%","±1.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","390","±119","13.8%","±3.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","58","±54","2.0%","±1.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","261","±114","9.2%","±3.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","105","±64","3.7%","±2.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","535","±141","18.9%","±4.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","67","±55","2.4%","±1.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","309","±102","10.9%","±3.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","204","±74","7.2%","±2.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","924","±138","32.6%","±5.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","805","±122","28.4%","±4.0"
"        Average household size","2.48","±0.01","(X)","(X)","2.64","±0.12","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.03","±0.15","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","7,474","±318","7,474","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,831","±163","37.9%","±1.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,665","±180","22.3%","±2.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","202","±89","2.7%","±1.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,214","±279","29.6%","±3.3"
"        Other relatives","394,812","±8,541","5.9%","±0.1","444","±168","5.9%","±2.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","118","±74","1.6%","±1.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,037","±212","3,037","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","882","±168","29.0%","±4.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,794","±177","59.1%","±5.2"
"        Separated","37,600","±1,670","1.3%","±0.1","21","±17","0.7%","±0.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","11","±18","0.4%","±0.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","329","±124","10.8%","±4.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,979","±227","2,979","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","632","±148","21.2%","±4.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,742","±167","58.5%","±6.1"
