"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01536!!Estimate","ZCTA5 01536!!Margin of Error","ZCTA5 01536!!Percent","ZCTA5 01536!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,914","±326","2,914","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,303","±241","44.7%","±6.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","639","±150","21.9%","±4.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","157","±72","5.4%","±2.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","30","±27","1.0%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","462","±149","15.9%","±4.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","42","±41","1.4%","±1.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","357","±131","12.3%","±4.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","176","±91","6.0%","±3.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","992","±221","34.0%","±6.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","110","±87","3.8%","±3.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","583","±204","20.0%","±6.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","294","±174","10.1%","±5.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","890","±156","30.5%","±5.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","926","±214","31.8%","±6.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.36","±0.18","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.09","±0.24","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","6,885","±736","6,885","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,914","±326","42.3%","±3.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,229","±220","17.9%","±2.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","158","±72","2.3%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,074","±407","30.1%","±4.3"
"        Other relatives","394,812","±8,541","5.9%","±0.1","353","±124","5.1%","±1.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","157","±86","2.3%","±1.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,641","±349","2,641","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","769","±265","29.1%","±7.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,415","±234","53.6%","±7.8"
"        Separated","37,600","±1,670","1.3%","±0.1","14","±23","0.5%","±0.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","96","±54","3.6%","±2.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","347","±113","13.1%","±4.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","3,268","±415","3,268","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","985","±247","30.1%","±5.5"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,285","±214","39.3%","±5.7"
"        Separated","55,256","±1,859","1.8%","±0.1","43","±43","1.3%","±1.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","394","±177","12.1%","±5.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","561","±146","17.2%","±4.3"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","44","±38","44","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","10","±16","22.7%","±36.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","10","±16","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","25","±21","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±116","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","57","±53","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","10","±18","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","123","±63","123","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","15","±35","12.2%","±28.8"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±27.2"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±19","0.0%","±27.2"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","0.0%","±27.2"
"            5 or more years","13,647","±1,024","10.9%","±0.8","15","±35","12.2%","±28.8"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","15","±35","15","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","8","±18","53.3%","±38.9"
"        Who are married","19,550","±1,487","64.5%","±2.5","15","±35","100.0%","±84.9"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,800","±368","1,800","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","111","±88","6.2%","±4.5"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","99","±62","5.5%","±3.3"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","675","±196","37.5%","±7.5"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","504","±176","28.0%","±8.9"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","411","±166","22.8%","±7.9"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","4,988","±525","4,988","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","89","±66","1.8%","±1.3"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","218","±112","4.4%","±2.2"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,190","±248","23.9%","±4.5"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","787","±205","15.8%","±3.5"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","413","±142","8.3%","±2.4"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,238","±256","24.8%","±4.8"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","1,053","±228","21.1%","±4.1"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","4,681","±518","93.8%","±2.5"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","2,291","±315","45.9%","±5.0"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","5,551","±605","5,551","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","234","±102","4.2%","±1.9"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","7,126","±790","7,126","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","952","±242","13.4%","±3.3"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","1,582","±334","1,582","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","76","±60","4.8%","±3.9"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","4,358","±563","4,358","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","398","±156","9.1%","±3.2"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,186","±283","1,186","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","478","±187","40.3%","±10.8"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","7,095","±787","7,095","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","6,631","±722","93.5%","±3.2"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","464","±244","6.5%","±3.2"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","400","±195","5.6%","±2.6"
"                Same county","446,141","±8,933","6.4%","±0.1","271","±145","3.8%","±2.0"
"                Different county","354,693","±6,215","5.1%","±0.1","129","±115","1.8%","±1.6"
"                    Same state","205,752","±5,091","3.0%","±0.1","51","±36","0.7%","±0.5"
"                    Different state","148,941","±3,990","2.2%","±0.1","78","±111","1.1%","±1.5"
"            Abroad","61,536","±2,941","0.9%","±0.1","64","±82","0.9%","±1.1"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","7,141","±789","7,141","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","6,279","±710","87.9%","±3.4"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","6,060","±735","84.9%","±4.2"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","4,539","±638","63.6%","±5.3"
"                Different state","1,398,292","±9,460","20.0%","±0.1","1,521","±336","21.3%","±4.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","219","±156","3.1%","±2.2"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","862","±267","12.1%","±3.4"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","862","±267","862","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","672","±219","78.0%","±11.4"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","190","±120","22.0%","±11.4"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","1,081","±322","1,081","(X)"
"        Native","209,292","±4,176","209,292","(X)","219","±156","219","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","42","±42","19.2%","±9.7"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","177","±120","80.8%","±9.7"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","862","±267","862","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","137","±111","15.9%","±11.0"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","725","±222","84.1%","±11.0"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","862","±267","862","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","268","±185","31.1%","±17.4"
"        Asia","372,717","±3,581","30.8%","±0.3","308","±126","35.7%","±15.5"
"        Africa","113,823","±3,313","9.4%","±0.3","0","±19","0.0%","±4.5"
"        Oceania","4,098","±490","0.3%","±0.1","0","±19","0.0%","±4.5"
