"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01375!!Estimate","ZCTA5 01375!!Margin of Error","ZCTA5 01375!!Percent","ZCTA5 01375!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,666","±118","1,666","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","524","±115","31.5%","±7.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","158","±70","9.5%","±4.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","228","±118","13.7%","±7.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±13","0.0%","±2.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","319","±145","19.1%","±8.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","20","±30","1.2%","±1.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","201","±132","12.1%","±7.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","18","±28","1.1%","±1.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","595","±161","35.7%","±9.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","23","±30","1.4%","±1.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","288","±117","17.3%","±6.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","125","±71","7.5%","±4.1"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","201","±73","12.1%","±4.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","410","±95","24.6%","±5.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.17","±0.15","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.79","±0.21","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","3,613","±32","3,613","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,666","±118","46.1%","±3.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","526","±115","14.6%","±3.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","244","±122","6.8%","±3.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","794","±154","22.0%","±4.3"
"        Other relatives","394,812","±8,541","5.9%","±0.1","63","±75","1.7%","±2.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","320","±138","8.9%","±3.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,650","±164","1,650","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","935","±184","56.7%","±9.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","552","±130","33.5%","±8.0"
"        Separated","37,600","±1,670","1.3%","±0.1","88","±122","5.3%","±7.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","23","±36","1.4%","±2.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","52","±40","3.2%","±2.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,718","±168","1,718","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","858","±157","49.9%","±6.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","549","±118","32.0%","±7.4"
"        Separated","55,256","±1,859","1.8%","±0.1","38","±60","2.2%","±3.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","133","±73","7.7%","±4.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","140","±83","8.1%","±4.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","36","±38","36","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±54.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±48","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","35","±37","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±369","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","27","±44","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","70","±94","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","0","±13","0","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±13","-","**"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","-","**"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","-","**"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","-","**"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","-","**"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±13","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±13","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±13","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,205","±222","1,205","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","22","±32","1.8%","±2.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","14","±22","1.2%","±1.9"
