"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02067!!Estimate","ZCTA5 02067!!Margin of Error","ZCTA5 02067!!Percent","ZCTA5 02067!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","6,395","±259","6,395","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","4,807","±264","75.2%","±4.2"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,443","±177","38.2%","±3.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","233","±105","3.6%","±1.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","84","±77","1.3%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","386","±103","6.0%","±1.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","23","±31","0.4%","±0.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","278","±97","4.3%","±1.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","156","±59","2.4%","±0.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","969","±273","15.2%","±4.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","186","±107","2.9%","±1.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","600","±226","9.4%","±3.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","356","±117","5.6%","±1.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,815","±187","44.0%","±3.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,115","±247","33.1%","±3.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.88","±0.12","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.18","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","18,408","±91","18,408","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","6,395","±259","34.7%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","4,807","±247","26.1%","±1.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","227","±96","1.2%","±0.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","6,248","±410","33.9%","±2.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","489","±171","2.7%","±0.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","242","±130","1.3%","±0.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","6,879","±356","6,879","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,369","±263","19.9%","±3.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","5,008","±277","72.8%","±3.3"
"        Separated","37,600","±1,670","1.3%","±0.1","90","±81","1.3%","±1.2"
"        Widowed","65,484","±1,934","2.3%","±0.1","90","±41","1.3%","±0.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","322","±129","4.7%","±1.8"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","7,536","±287","7,536","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,510","±273","20.0%","±3.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","5,070","±288","67.3%","±3.5"
"        Separated","55,256","±1,859","1.8%","±0.1","17","±22","0.2%","±0.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","495","±152","6.6%","±2.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","444","±133","5.9%","±1.8"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","180","±90","180","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","13","±18","7.2%","±10.4"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","8","±12","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","45","±23","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±79","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","63","±45","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","46","±35","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","147","±99","147","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","40","±44","27.2%","±26.4"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±23.5"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±23.5"
"            3 or 4 years","5,630","±671","4.5%","±0.5","17","±26","11.6%","±17.2"
"            5 or more years","13,647","±1,024","10.9%","±0.8","23","±38","15.6%","±26.5"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","40","±44","40","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","11","±19","27.5%","±32.6"
"        Who are married","19,550","±1,487","64.5%","±2.5","40","±44","100.0%","±52.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","5,178","±470","5,178","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","494","±155","9.5%","±2.9"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","282","±153","5.4%","±2.8"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","2,339","±344","45.2%","±5.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,075","±217","20.8%","±4.0"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","988","±231","19.1%","±4.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","12,677","±430","12,677","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","145","±120","1.1%","±0.9"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","138","±100","1.1%","±0.8"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,096","±322","8.6%","±2.4"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,322","±322","10.4%","±2.4"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","649","±168","5.1%","±1.4"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","4,172","±392","32.9%","±3.0"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","5,155","±461","40.7%","±3.7"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","12,394","±456","97.8%","±1.2"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","9,327","±475","73.6%","±3.7"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","13,482","±377","13,482","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","598","±214","4.4%","±1.5"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","18,379","±99","18,379","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","1,578","±289","8.6%","±1.6"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","4,954","±361","4,954","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","227","±139","4.6%","±2.8"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","10,191","±338","10,191","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","612","±191","6.0%","±1.8"
"    65 years and over","1,122,280","±664","1,122,280","(X)","3,234","±405","3,234","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","739","±179","22.9%","±5.3"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","18,282","±100","18,282","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","16,860","±512","92.2%","±2.7"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","1,422","±498","7.8%","±2.7"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","1,276","±506","7.0%","±2.8"
"                Same county","446,141","±8,933","6.4%","±0.1","260","±205","1.4%","±1.1"
"                Different county","354,693","±6,215","5.1%","±0.1","1,016","±486","5.6%","±2.7"
"                    Same state","205,752","±5,091","3.0%","±0.1","286","±118","1.6%","±0.6"
"                    Different state","148,941","±3,990","2.2%","±0.1","730","±480","4.0%","±2.6"
"            Abroad","61,536","±2,941","0.9%","±0.1","146","±148","0.8%","±0.8"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","18,477","±36","18,477","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","14,509","±559","78.5%","±3.0"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","14,166","±582","76.7%","±3.2"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","9,245","±593","50.0%","±3.2"
"                Different state","1,398,292","±9,460","20.0%","±0.1","4,921","±542","26.6%","±2.9"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","343","±132","1.9%","±0.7"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","3,968","±562","21.5%","±3.0"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","3,968","±562","3,968","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","2,825","±482","71.2%","±5.3"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","1,143","±243","28.8%","±5.3"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","4,311","±584","4,311","(X)"
"        Native","209,292","±4,176","209,292","(X)","343","±132","343","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","123","±71","35.9%","±16.1"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","220","±102","64.1%","±16.1"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","3,968","±562","3,968","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","436","±165","11.0%","±3.9"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","3,532","±525","89.0%","±3.9"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","3,968","±562","3,968","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","1,293","±408","32.6%","±7.4"
"        Asia","372,717","±3,581","30.8%","±0.3","2,314","±364","58.3%","±8.3"
"        Africa","113,823","±3,313","9.4%","±0.3","93","±105","2.3%","±2.7"
"        Oceania","4,098","±490","0.3%","±0.1","0","±21","0.0%","±1.0"
"        Latin America","456,601","±7,328","37.7%","±0.5","171","±94","4.3%","±2.3"
"        Northern America","28,855","±1,370","2.4%","±0.1","97","±61","2.4%","±1.4"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","17,201","±284","17,201","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","12,425","±663","72.2%","±4.0"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","4,776","±712","27.8%","±4.0"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","990","±321","5.8%","±1.9"
"        Spanish","623,189","±4,858","9.4%","±0.1","408","±203","2.4%","±1.2"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","59","±53","0.3%","±0.3"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","2,468","±566","14.3%","±3.2"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","483","±202","2.8%","±1.2"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","1,652","±432","9.6%","±2.5"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","428","±251","2.5%","±1.5"
"        Other languages","99,560","±3,943","1.5%","±0.1","248","±145","1.4%","±0.8"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","20","±22","0.1%","±0.1"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","18,477","±36","18,477","(X)"
"        American","260,364","±6,504","3.7%","±0.1","1,580","±635","8.6%","±3.4"
"        Arab","72,487","±3,641","1.0%","±0.1","214","±138","1.2%","±0.7"
"        Czech","12,119","±1,098","0.2%","±0.1","36","±44","0.2%","±0.2"
"        Danish","14,346","±1,162","0.2%","±0.1","11","±17","0.1%","±0.1"
"        Dutch","34,354","±1,922","0.5%","±0.1","55","±53","0.3%","±0.3"
"        English","655,283","±8,406","9.4%","±0.1","1,234","±299","6.7%","±1.6"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","407","±186","2.2%","±1.0"
"        French Canadian","235,524","±4,384","3.4%","±0.1","198","±103","1.1%","±0.6"
"        German","387,135","±7,027","5.5%","±0.1","1,013","±302","5.5%","±1.6"
"        Greek","76,566","±3,218","1.1%","±0.1","157","±139","0.8%","±0.8"
"        Hungarian","19,068","±1,432","0.3%","±0.1","58","±47","0.3%","±0.3"
"        Irish","1,345,219","±11,619","19.2%","±0.2","2,016","±483","10.9%","±2.6"
"        Italian","815,794","±9,186","11.7%","±0.1","1,268","±352","6.9%","±1.9"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","459","±235","2.5%","±1.3"
"        Norwegian","35,032","±1,997","0.5%","±0.1","60","±65","0.3%","±0.3"
"        Polish","283,050","±4,814","4.0%","±0.1","676","±221","3.7%","±1.2"
"        Portuguese","270,183","±5,260","3.9%","±0.1","158","±99","0.9%","±0.5"
"        Russian","91,511","±3,161","1.3%","±0.1","1,984","±563","10.7%","±3.0"
"        Scotch-Irish","41,714","±2,151","0.6%","±0.1","25","±38","0.1%","±0.2"
"        Scottish","134,503","±3,385","1.9%","±0.1","152","±73","0.8%","±0.4"
"        Slovak","7,069","±828","0.1%","±0.1","48","±51","0.3%","±0.3"
"        Subsaharan African","158,921","±4,752","2.3%","±0.1","74","±80","0.4%","±0.4"
"        Swedish","102,031","±2,873","1.5%","±0.1","198","±194","1.1%","±1.0"
"        Swiss","10,126","±912","0.1%","±0.1","101","±104","0.5%","±0.6"
"        Ukrainian","24,760","±1,792","0.4%","±0.1","363","±303","2.0%","±1.6"
"        Welsh","23,388","±1,506","0.3%","±0.1","74","±65","0.4%","±0.4"
"        West Indian (excluding Hispanic origin groups)","139,627","±4,694","2.0%","±0.1","57","±48","0.3%","±0.3"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","6,395","±259","6,395","(X)"
