"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01008!!Estimate","ZCTA5 01008!!Margin of Error","ZCTA5 01008!!Percent","ZCTA5 01008!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","506","±75","506","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","268","±53","53.0%","±9.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","64","±31","12.6%","±6.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","37","±21","7.3%","±4.1"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","13","±18","2.6%","±3.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","106","±48","20.9%","±8.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±7.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","100","±48","19.8%","±8.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","28","±18","5.5%","±3.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","95","±45","18.8%","±8.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","0","±13","0.0%","±7.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","29","±23","5.7%","±4.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","29","±23","5.7%","±4.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","94","±31","18.6%","±6.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","216","±44","42.7%","±8.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.31","±0.24","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.87","±0.25","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,171","±167","1,171","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","506","±75","43.2%","±4.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","264","±52","22.5%","±3.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","39","±22","3.3%","±1.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","263","±72","22.5%","±4.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","90","±50","7.7%","±3.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","9","±10","0.8%","±0.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","509","±92","509","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","182","±84","35.8%","±12.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","274","±53","53.8%","±10.8"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±7.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","5","±9","1.0%","±1.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","48","±19","9.4%","±3.8"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","512","±75","512","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","172","±51","33.6%","±7.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","271","±51","52.9%","±7.5"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±7.5"
"        Widowed","239,073","±3,906","7.9%","±0.1","26","±20","5.1%","±4.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","43","±27","8.4%","±5.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","8","±9","8","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±100.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±275","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","37","±43","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±950","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","89","±93","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±292","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","39","±28","39","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","9","±13","23.1%","±30.8"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±52.7"
"            1 or 2 years","6,316","±677","5.0%","±0.5","9","±13","23.1%","±30.8"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±52.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±52.7"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","9","±13","9","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","5","±6","55.6%","±27.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","9","±13","100.0%","±100.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","135","±55","135","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","21","±22","15.6%","±16.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","0","±13","0.0%","±25.2"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","60","±27","44.4%","±16.0"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","29","±29","21.5%","±14.7"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","25","±18","18.5%","±9.9"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","926","±120","926","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","25","±20","2.7%","±2.2"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","60","±36","6.5%","±3.6"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","324","±75","35.0%","±6.3"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","84","±27","9.1%","±2.8"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","128","±45","13.8%","±4.4"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","168","±48","18.1%","±5.0"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","137","±46","14.8%","±4.6"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","841","±112","90.8%","±4.3"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","305","±73","32.9%","±7.2"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","1,005","±141","1,005","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","87","±28","8.7%","±3.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","1,171","±167","1,171","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","123","±43","10.5%","±3.5"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","166","±55","166","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","4","±7","2.4%","±4.2"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","699","±130","699","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","68","±33","9.7%","±4.2"
"    65 years and over","1,122,280","±664","1,122,280","(X)","306","±66","306","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","51","±20","16.7%","±6.9"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","1,163","±165","1,163","(X)"
