"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01109!!Estimate","ZCTA5 01109!!Margin of Error","ZCTA5 01109!!Percent","ZCTA5 01109!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","9,506","±656","9,506","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,365","±332","24.9%","±3.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","791","±210","8.3%","±2.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","768","±254","8.1%","±2.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","443","±186","4.7%","±1.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,739","±306","18.3%","±3.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","188","±139","2.0%","±1.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,094","±229","11.5%","±2.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","420","±161","4.4%","±1.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,634","±559","48.7%","±4.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,348","±299","14.2%","±3.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,767","±310","18.6%","±3.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","866","±222","9.1%","±2.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,469","±430","36.5%","±3.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,676","±290","28.2%","±2.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.91","±0.14","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.67","±0.19","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","27,699","±1,922","27,699","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","9,506","±656","34.3%","±1.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,468","±359","8.9%","±1.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","805","±268","2.9%","±0.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","10,807","±1,073","39.0%","±2.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","3,299","±624","11.9%","±2.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","814","±266","2.9%","±0.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","12,361","±922","12,361","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","8,077","±726","65.3%","±3.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,089","±425","25.0%","±2.9"
"        Separated","37,600","±1,670","1.3%","±0.1","263","±140","2.1%","±1.1"
"        Widowed","65,484","±1,934","2.3%","±0.1","104","±71","0.8%","±0.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","828","±217","6.7%","±1.6"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","12,897","±899","12,897","(X)"
