"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01436!!Estimate","ZCTA5 01436!!Margin of Error","ZCTA5 01436!!Percent","ZCTA5 01436!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,262","±198","1,262","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","572","±153","45.3%","±13.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","202","±91","16.0%","±7.7"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","262","±235","20.8%","±17.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","172","±228","13.6%","±17.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","184","±89","14.6%","±6.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±3.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","111","±60","8.8%","±4.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","46","±48","3.6%","±3.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","244","±125","19.3%","±9.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","27","±43","2.1%","±3.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","141","±96","11.2%","±7.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","101","±102","8.0%","±7.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","418","±217","33.1%","±15.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","293","±142","23.2%","±10.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.79","±0.42","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.19","±0.28","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","3,521","±799","3,521","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,262","±198","35.8%","±5.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","575","±152","16.3%","±6.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","250","±214","7.1%","±5.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,241","±533","35.2%","±8.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","85","±102","2.4%","±2.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","108","±96","3.1%","±2.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,556","±303","1,556","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","611","±278","39.3%","±13.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","596","±159","38.3%","±12.4"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±2.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","44","±47","2.8%","±3.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","305","±232","19.6%","±14.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,199","±190","1,199","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","215","±94","17.9%","±7.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","564","±154","47.0%","±13.4"
"        Separated","55,256","±1,859","1.8%","±0.1","165","±206","13.8%","±16.5"
"        Widowed","239,073","±3,906","7.9%","±0.1","136","±109","11.3%","±8.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","119","±98","9.9%","±8.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","152","±206","152","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±22.9"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±204","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","222","±263","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±633","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","370","±379","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±149","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","0","±13","0","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±13","-","**"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","-","**"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","-","**"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","-","**"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","-","**"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±13","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±13","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±13","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","648","±256","648","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","12","±19","1.9%","±3.2"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","22","±36","3.4%","±5.5"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","428","±241","66.0%","±17.4"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","46","±40","7.1%","±6.3"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","140","±70","21.6%","±11.7"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","2,360","±391","2,360","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","214","±234","9.1%","±9.2"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","102","±75","4.3%","±3.1"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","622","±197","26.4%","±8.2"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","617","±241","26.1%","±9.8"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","234","±104","9.9%","±4.8"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","401","±208","17.0%","±7.6"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","170","±97","7.2%","±4.7"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","2,044","±300","86.6%","±9.1"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","571","±204","24.2%","±7.8"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","2,698","±427","2,698","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","175","±95","6.5%","±3.5"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","3,577","±805","3,577","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","350","±191","9.8%","±5.9"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","967","±546","967","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","15","±24","1.6%","±2.8"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","2,208","±444","2,208","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","234","±158","10.6%","±7.0"
"    65 years and over","1,122,280","±664","1,122,280","(X)","402","±186","402","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","101","±81","25.1%","±16.7"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","3,567","±687","3,567","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","3,402","±698","95.4%","±3.0"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","165","±96","4.6%","±3.0"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","146","±90","4.1%","±2.8"
"                Same county","446,141","±8,933","6.4%","±0.1","119","±89","3.3%","±2.7"
"                Different county","354,693","±6,215","5.1%","±0.1","27","±27","0.8%","±0.8"
"                    Same state","205,752","±5,091","3.0%","±0.1","27","±27","0.8%","±0.8"
"                    Different state","148,941","±3,990","2.2%","±0.1","0","±13","0.0%","±1.1"
