"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01542!!Estimate","ZCTA5 01542!!Margin of Error","ZCTA5 01542!!Percent","ZCTA5 01542!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","992","±174","992","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","590","±159","59.5%","±11.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","152","±98","15.3%","±9.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","48","±39","4.8%","±4.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","39","±38","3.9%","±3.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","143","±103","14.4%","±9.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±3.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","116","±95","11.7%","±9.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","83","±92","8.4%","±8.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","211","±77","21.3%","±7.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","80","±51","8.1%","±5.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","93","±54","9.4%","±5.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","46","±40","4.6%","±3.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","325","±107","32.8%","±9.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","395","±148","39.8%","±11.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.63","±0.34","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.02","±0.35","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","2,611","±540","2,611","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","992","±174","38.0%","±4.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","637","±241","24.4%","±6.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","57","±46","2.2%","±1.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","737","±301","28.2%","±7.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","138","±86","5.3%","±3.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","50","±46","1.9%","±1.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","973","±192","973","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","330","±126","33.9%","±10.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","601","±160","61.8%","±11.9"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±4.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","10","±16","1.0%","±1.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","32","±40","3.3%","±4.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,141","±275","1,141","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","229","±103","20.1%","±8.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","647","±245","56.7%","±12.4"
"        Separated","55,256","±1,859","1.8%","±0.1","2","±5","0.2%","±0.5"
"        Widowed","239,073","±3,906","7.9%","±0.1","125","±77","11.0%","±6.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","138","±62","12.1%","±6.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","54","±81","54","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±44.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±123","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","101","±144","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±343","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","335","±398","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±132","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","86","±91","86","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","58","±70","67.4%","±29.3"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","35","±60","40.7%","±53.3"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±35.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","23","±33","26.7%","±27.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±35.1"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","58","±70","58","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","41","±45","70.7%","±28.4"
"        Who are married","19,550","±1,487","64.5%","±2.5","58","±70","100.0%","±43.2"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","595","±228","595","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","48","±65","8.1%","±11.2"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","88","±97","14.8%","±13.4"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","259","±147","43.5%","±15.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","125","±95","21.0%","±15.8"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","75","±56","12.6%","±9.7"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","1,953","±371","1,953","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","6","±8","0.3%","±0.4"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","73","±49","3.7%","±2.6"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","455","±204","23.3%","±9.6"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","608","±189","31.1%","±7.3"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","250","±199","12.8%","±9.0"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","329","±121","16.8%","±6.0"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","232","±118","11.9%","±6.3"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","1,874","±369","96.0%","±2.7"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","561","±170","28.7%","±8.9"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","2,028","±390","2,028","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","225","±111","11.1%","±4.7"
