"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02032!!Estimate","ZCTA5 02032!!Margin of Error","ZCTA5 02032!!Percent","ZCTA5 02032!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,522","±195","1,522","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,064","±182","69.9%","±12.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","600","±131","39.4%","±8.6"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","202","±166","13.3%","±10.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±13","0.0%","±2.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","163","±106","10.7%","±6.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","15","±27","1.0%","±1.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","98","±87","6.4%","±5.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","0","±13","0.0%","±2.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","93","±75","6.1%","±4.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","35","±57","2.3%","±3.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","42","±44","2.8%","±2.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","25","±28","1.6%","±1.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","833","±174","54.7%","±9.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","439","±165","28.8%","±10.3"
"        Average household size","2.48","±0.01","(X)","(X)","3.20","±0.34","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.53","±0.37","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","4,878","±696","4,878","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,522","±195","31.2%","±3.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,054","±183","21.6%","±4.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","200","±160","4.1%","±3.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,563","±385","32.0%","±5.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","323","±174","6.6%","±3.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","216","±257","4.4%","±5.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,081","±379","2,081","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","832","±341","40.0%","±10.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,061","±187","51.0%","±13.9"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±1.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±13","0.0%","±1.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","188","±130","9.0%","±5.5"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,738","±303","1,738","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","410","±211","23.6%","±9.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,162","±237","66.9%","±10.9"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±2.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","106","±128","6.1%","±7.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","60","±64","3.5%","±3.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","27","±30","27","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","15","±22","55.6%","±55.6"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","39","±64","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","26","±30","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±171","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","103","±109","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±69","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","164","±107","164","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","72","±84","43.9%","±39.8"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±21.4"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±21.4"
"            3 or 4 years","5,630","±671","4.5%","±0.5","41","±67","25.0%","±35.5"
"            5 or more years","13,647","±1,024","10.9%","±0.8","31","±46","18.9%","±26.8"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","72","±84","72","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","20","±33","27.8%","±28.4"
"        Who are married","19,550","±1,487","64.5%","±2.5","41","±67","56.9%","±56.9"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,595","±418","1,595","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","81","±76","5.1%","±4.8"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","47","±46","2.9%","±2.8"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","747","±260","46.8%","±9.9"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","463","±206","29.0%","±11.4"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","257","±155","16.1%","±8.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","3,115","±391","3,115","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","0","±13","0.0%","±1.3"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","68","±79","2.2%","±2.5"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","568","±203","18.2%","±6.2"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","359","±154","11.5%","±4.8"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","182","±93","5.8%","±3.0"
