"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01071!!Estimate","ZCTA5 01071!!Margin of Error","ZCTA5 01071!!Percent","ZCTA5 01071!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","518","±102","518","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","309","±88","59.7%","±9.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","87","±30","16.8%","±5.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","29","±24","5.6%","±4.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","20","±21","3.9%","±4.1"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","89","±32","17.2%","±6.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","2","±4","0.4%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","50","±27","9.7%","±5.1"
"                65 years and over","102,147","±2,741","3.8%","±0.1","23","±21","4.4%","±3.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","91","±43","17.6%","±8.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","0","±13","0.0%","±7.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","76","±42","14.7%","±7.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","23","±19","4.4%","±3.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","117","±40","22.6%","±7.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","124","±40","23.9%","±7.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.46","±0.25","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.85","±0.27","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,276","±266","1,276","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","518","±102","40.6%","±4.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","292","±72","22.9%","±3.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","28","±23","2.2%","±1.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","380","±116","29.8%","±5.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","37","±22","2.9%","±1.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","21","±16","1.6%","±1.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","600","±127","600","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","216","±74","36.0%","±9.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","312","±87","52.0%","±9.4"
"        Separated","37,600","±1,670","1.3%","±0.1","4","±5","0.7%","±0.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±13","0.0%","±6.4"
"        Divorced","227,113","±4,005","8.0%","±0.1","68","±31","11.3%","±5.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","547","±151","547","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","179","±99","32.7%","±11.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","289","±73","52.8%","±9.0"
"        Separated","55,256","±1,859","1.8%","±0.1","3","±5","0.5%","±1.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","42","±30","7.7%","±5.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","34","±21","6.2%","±4.1"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","4","±5","4","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±100.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±202","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","15","±19","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±556","(X)","(X)"
