"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02019!!Estimate","ZCTA5 02019!!Margin of Error","ZCTA5 02019!!Percent","ZCTA5 02019!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","6,250","±409","6,250","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,408","±458","54.5%","±5.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,368","±263","21.9%","±3.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","639","±262","10.2%","±4.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","298","±246","4.8%","±4.1"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","773","±220","12.4%","±3.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","70","±60","1.1%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","378","±120","6.0%","±1.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","98","±53","1.6%","±0.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,430","±308","22.9%","±4.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","201","±120","3.2%","±1.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,044","±293","16.7%","±4.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","633","±242","10.1%","±3.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,179","±227","34.9%","±4.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,771","±289","28.3%","±3.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.71","±0.18","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.16","±0.16","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","16,914","±42","16,914","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","6,250","±409","37.0%","±2.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,301","±444","19.5%","±2.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","672","±291","4.0%","±1.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,290","±574","31.3%","±3.4"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,050","±355","6.2%","±2.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","351","±199","2.1%","±1.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","6,414","±495","6,414","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,354","±366","36.7%","±5.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,589","±472","56.0%","±5.5"
"        Separated","37,600","±1,670","1.3%","±0.1","66","±57","1.0%","±0.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","40","±40","0.6%","±0.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","365","±151","5.7%","±2.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","7,047","±328","7,047","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,130","±499","30.2%","±6.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,420","±458","48.5%","±6.6"
"        Separated","55,256","±1,859","1.8%","±0.1","137","±90","1.9%","±1.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","566","±262","8.0%","±3.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","794","±218","11.3%","±3.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","234","±110","234","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","112","±72","47.9%","±22.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","52","±35","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","61","±30","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","66","±106","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","111","±64","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","18","±23","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","396","±196","396","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","70","±66","17.7%","±16.5"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±9.6"
"            1 or 2 years","6,316","±677","5.0%","±0.5","44","±57","11.1%","±14.4"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±21","0.0%","±9.6"
"            5 or more years","13,647","±1,024","10.9%","±0.8","26","±32","6.6%","±8.2"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","70","±66","70","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","53","±48","75.7%","±27.4"
"        Who are married","19,550","±1,487","64.5%","±2.5","31","±50","44.3%","±50.1"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","4,025","±535","4,025","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","236","±142","5.9%","±3.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","195","±185","4.8%","±4.3"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","2,180","±485","54.2%","±7.9"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","749","±252","18.6%","±6.9"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","665","±248","16.5%","±6.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","11,177","±616","11,177","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","213","±119","1.9%","±1.1"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","281","±134","2.5%","±1.2"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","3,113","±413","27.9%","±3.1"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,962","±409","17.6%","±3.3"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,091","±268","9.8%","±2.2"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","2,837","±491","25.4%","±4.9"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","1,680","±348","15.0%","±2.9"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","10,683","±617","95.6%","±1.5"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","4,517","±479","40.4%","±4.8"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","12,913","±478","12,913","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","748","±196","5.8%","±1.5"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","16,927","±43","16,927","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","1,803","±378","10.7%","±2.2"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","4,014","±481","4,014","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","165","±112","4.1%","±2.9"
