"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02135!!Estimate","ZCTA5 02135!!Margin of Error","ZCTA5 02135!!Percent","ZCTA5 02135!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","20,040","±761","20,040","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,223","±531","26.1%","±2.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,462","±221","7.3%","±1.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,945","±288","9.7%","±1.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","70","±96","0.3%","±0.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","5,185","±459","25.9%","±2.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","28","±42","0.1%","±0.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,520","±416","12.6%","±2.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","729","±212","3.6%","±1.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","7,687","±625","38.4%","±2.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","472","±168","2.4%","±0.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","4,331","±510","21.6%","±2.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,727","±413","8.6%","±2.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,132","±296","10.6%","±1.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","4,086","±496","20.4%","±2.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.19","±0.06","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.77","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","43,946","±2,039","43,946","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","20,040","±761","45.6%","±1.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,174","±528","11.8%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,967","±267","4.5%","±0.6"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,397","±809","12.3%","±1.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,479","±396","3.4%","±0.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","9,889","±1,132","22.5%","±2.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","20,291","±1,276","20,291","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","12,766","±1,176","62.9%","±3.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","6,110","±608","30.1%","±3.0"
"        Separated","37,600","±1,670","1.3%","±0.1","163","±79","0.8%","±0.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","346","±155","1.7%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","906","±223","4.5%","±1.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","21,526","±1,299","21,526","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","13,501","±1,190","62.7%","±3.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","5,488","±546","25.5%","±2.4"
