"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01906!!Estimate","ZCTA5 01906!!Margin of Error","ZCTA5 01906!!Percent","ZCTA5 01906!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","10,581","±385","10,581","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,787","±409","54.7%","±3.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,851","±303","17.5%","±3.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","828","±205","7.8%","±2.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","249","±125","2.4%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,496","±360","14.1%","±3.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","52","±49","0.5%","±0.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","909","±309","8.6%","±2.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","353","±129","3.3%","±1.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,470","±402","23.3%","±3.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","241","±106","2.3%","±1.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,556","±322","14.7%","±2.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","693","±193","6.5%","±1.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,751","±276","26.0%","±3.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,810","±425","36.0%","±3.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.67","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.14","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","28,200","±116","28,200","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","10,581","±385","37.5%","±1.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,986","±431","21.2%","±1.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","821","±200","2.9%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","8,079","±577","28.6%","±2.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,784","±409","6.3%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","949","±324","3.4%","±1.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","11,739","±506","11,739","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","3,907","±537","33.3%","±3.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","6,201","±403","52.8%","±3.5"
"        Separated","37,600","±1,670","1.3%","±0.1","190","±144","1.6%","±1.2"
"        Widowed","65,484","±1,934","2.3%","±0.1","392","±139","3.3%","±1.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,049","±257","8.9%","±2.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","12,798","±576","12,798","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","3,980","±578","31.1%","±3.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","6,337","±458","49.5%","±3.8"
"        Separated","55,256","±1,859","1.8%","±0.1","54","±48","0.4%","±0.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,123","±255","8.8%","±2.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,304","±256","10.2%","±1.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","258","±123","258","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","105","±89","40.7%","±28.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","29","±25","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","39","±20","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±51","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","39","±23","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","50","±34","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","707","±245","707","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","344","±171","48.7%","±15.4"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","133","±103","18.8%","±12.6"
"            1 or 2 years","6,316","±677","5.0%","±0.5","43","±56","6.1%","±8.0"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±25","0.0%","±5.5"
"            5 or more years","13,647","±1,024","10.9%","±0.8","168","±133","23.8%","±15.9"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","344","±171","344","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","153","±92","44.5%","±12.1"
"        Who are married","19,550","±1,487","64.5%","±2.5","280","±161","81.4%","±18.7"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","4,967","±491","4,967","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","234","±131","4.7%","±2.6"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","232","±203","4.7%","±4.0"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","2,226","±391","44.8%","±7.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,115","±248","22.4%","±4.7"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","1,160","±361","23.4%","±6.4"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","21,182","±622","21,182","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","548","±257","2.6%","±1.2"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","1,251","±284","5.9%","±1.4"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","7,205","±639","34.0%","±3.0"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","3,576","±460","16.9%","±2.1"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,888","±363","8.9%","±1.7"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","4,123","±581","19.5%","±2.6"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","2,591","±474","12.2%","±2.2"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","19,383","±679","91.5%","±1.6"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","6,714","±767","31.7%","±3.3"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","23,731","±627","23,731","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","1,121","±240","4.7%","±1.0"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","28,364","±84","28,364","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","3,805","±529","13.4%","±1.9"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","4,776","±622","4,776","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","483","±240","10.1%","±5.1"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","18,148","±699","18,148","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","1,730","±331","9.5%","±1.9"
"    65 years and over","1,122,280","±664","1,122,280","(X)","5,440","±633","5,440","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","1,592","±295","29.3%","±4.4"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","28,265","±122","28,265","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","26,005","±557","92.0%","±1.9"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","2,260","±544","8.0%","±1.9"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","1,805","±493","6.4%","±1.7"
"                Same county","446,141","±8,933","6.4%","±0.1","629","±230","2.2%","±0.8"
"                Different county","354,693","±6,215","5.1%","±0.1","1,176","±460","4.2%","±1.6"
"                    Same state","205,752","±5,091","3.0%","±0.1","893","±341","3.2%","±1.2"
"                    Different state","148,941","±3,990","2.2%","±0.1","283","±240","1.0%","±0.9"
"            Abroad","61,536","±2,941","0.9%","±0.1","455","±385","1.6%","±1.4"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","28,521","±24","28,521","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","24,228","±825","84.9%","±2.9"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","23,967","±846","84.0%","±3.0"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","21,785","±850","76.4%","±3.0"
"                Different state","1,398,292","±9,460","20.0%","±0.1","2,182","±460","7.7%","±1.6"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","261","±163","0.9%","±0.6"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","4,293","±822","15.1%","±2.9"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","4,293","±822","4,293","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","2,386","±490","55.6%","±11.3"
