"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01905!!Estimate","ZCTA5 01905!!Margin of Error","ZCTA5 01905!!Percent","ZCTA5 01905!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","9,339","±543","9,339","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,388","±368","36.3%","±4.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,713","±268","18.3%","±3.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","960","±252","10.3%","±2.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","387","±167","4.1%","±1.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,432","±517","26.0%","±4.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","152","±93","1.6%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,375","±316","14.7%","±3.1"
"                65 years and over","102,147","±2,741","3.8%","±0.1","326","±126","3.5%","±1.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,559","±317","27.4%","±3.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","678","±189","7.3%","±2.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,141","±261","12.2%","±2.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","362","±113","3.9%","±1.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,411","±385","36.5%","±3.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,171","±269","23.2%","±2.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.88","±0.14","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.49","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","26,892","±1,768","26,892","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","9,339","±543","34.7%","±1.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,371","±390","12.5%","±1.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,073","±312","4.0%","±1.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","8,618","±837","32.0%","±2.4"
"        Other relatives","394,812","±8,541","5.9%","±0.1","3,094","±828","11.5%","±2.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,397","±456","5.2%","±1.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","11,026","±922","11,026","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","5,323","±747","48.3%","±4.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","4,013","±495","36.4%","±4.4"
"        Separated","37,600","±1,670","1.3%","±0.1","347","±159","3.1%","±1.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","218","±92","2.0%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,125","±275","10.2%","±2.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","10,134","±720","10,134","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","3,641","±466","35.9%","±3.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,789","±415","37.4%","±4.1"
"        Separated","55,256","±1,859","1.8%","±0.1","473","±149","4.7%","±1.5"
"        Widowed","239,073","±3,906","7.9%","±0.1","844","±365","8.3%","±3.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,387","±218","13.7%","±2.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","253","±144","253","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","84","±66","33.2%","±24.7"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","21","±16","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","38","±22","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±48","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","50","±40","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","38","±22","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","474","±187","474","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","42","±47","8.9%","±9.7"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±25","0.0%","±8.1"
"            1 or 2 years","6,316","±677","5.0%","±0.5","10","±16","2.1%","±3.4"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±25","0.0%","±8.1"
"            5 or more years","13,647","±1,024","10.9%","±0.8","32","±45","6.8%","±9.3"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","42","±47","42","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","42","±47","100.0%","±50.8"
"        Who are married","19,550","±1,487","64.5%","±2.5","10","±16","23.8%","±42.9"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","6,984","±680","6,984","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","185","±104","2.6%","±1.5"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","252","±149","3.6%","±2.1"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","3,320","±518","47.5%","±5.0"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,603","±312","23.0%","±4.4"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","1,624","±326","23.3%","±4.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","17,473","±1,169","17,473","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","2,094","±419","12.0%","±2.2"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","1,783","±508","10.2%","±2.7"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","5,559","±667","31.8%","±3.8"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","3,375","±573","19.3%","±2.9"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,639","±330","9.4%","±1.8"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","2,389","±494","13.7%","±2.7"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","634","±223","3.6%","±1.2"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","13,596","±917","77.8%","±3.1"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","3,023","±589","17.3%","±3.2"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","19,966","±1,295","19,966","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","612","±158","3.1%","±0.8"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","26,929","±1,769","26,929","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","4,267","±752","15.8%","±2.6"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","6,989","±826","6,989","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","540","±276","7.7%","±3.6"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","17,288","±1,279","17,288","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","2,637","±692","15.3%","±3.7"
"    65 years and over","1,122,280","±664","1,122,280","(X)","2,652","±326","2,652","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","1,090","±201","41.1%","±5.7"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","26,768","±1,765","26,768","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","24,432","±1,807","91.3%","±2.0"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","2,336","±513","8.7%","±2.0"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","1,939","±473","7.2%","±1.8"
"                Same county","446,141","±8,933","6.4%","±0.1","1,165","±364","4.4%","±1.4"
"                Different county","354,693","±6,215","5.1%","±0.1","774","±296","2.9%","±1.1"
"                    Same state","205,752","±5,091","3.0%","±0.1","731","±292","2.7%","±1.1"
"                    Different state","148,941","±3,990","2.2%","±0.1","43","±44","0.2%","±0.2"
"            Abroad","61,536","±2,941","0.9%","±0.1","397","±181","1.5%","±0.7"
