"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01262!!Estimate","ZCTA5 01262!!Margin of Error","ZCTA5 01262!!Percent","ZCTA5 01262!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","688","±92","688","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","315","±84","45.8%","±10.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","81","±51","11.8%","±7.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","0","±13","0.0%","±5.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±13","0.0%","±5.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","56","±43","8.1%","±6.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±5.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","56","±43","8.1%","±6.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","49","±38","7.1%","±5.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","317","±91","46.1%","±11.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","24","±37","3.5%","±5.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","175","±59","25.4%","±7.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","127","±46","18.5%","±6.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","105","±65","15.3%","±8.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","388","±77","56.4%","±9.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.09","±0.28","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.60","±0.41","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,439","±231","1,439","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","688","±92","47.8%","±6.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","287","±74","19.9%","±4.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","0","±13","0.0%","±2.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","285","±116","19.8%","±6.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","89","±99","6.2%","±6.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","90","±91","6.3%","±6.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","622","±249","622","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","266","±216","42.8%","±18.9"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","289","±76","46.5%","±15.2"
"        Separated","37,600","±1,670","1.3%","±0.1","15","±23","2.4%","±3.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±13","0.0%","±6.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","52","±36","8.4%","±6.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","866","±173","866","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","286","±150","33.0%","±12.5"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","313","±83","36.1%","±11.6"
"        Separated","55,256","±1,859","1.8%","±0.1","7","±11","0.8%","±1.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","102","±48","11.8%","±5.8"
"        Divorced","324,764","±4,024","10.7%","±0.1","158","±69","18.2%","±7.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","18","±30","18","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±77.5"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±154","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","60","±84","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±1,000","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","85","±114","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±369","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","0","±13","0","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±13","-","**"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","-","**"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","-","**"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","-","**"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","-","**"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±13","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±13","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±13","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","238","±110","238","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","8","±11","3.4%","±4.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","8","±11","3.4%","±5.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","74","±57","31.1%","±22.0"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","60","±85","25.2%","±28.4"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","88","±54","37.0%","±23.0"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","1,309","±262","1,309","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","7","±16","0.5%","±1.2"
