"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02148!!Estimate","ZCTA5 02148!!Margin of Error","ZCTA5 02148!!Percent","ZCTA5 02148!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","25,582","±820","25,582","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","11,459","±697","44.8%","±3.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","5,017","±533","19.6%","±2.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,635","±354","6.4%","±1.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","359","±246","1.4%","±1.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","5,421","±661","21.2%","±2.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","136","±98","0.5%","±0.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,842","±454","11.1%","±1.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","584","±217","2.3%","±0.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","7,067","±804","27.6%","±2.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,199","±325","4.7%","±1.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","3,828","±650","15.0%","±2.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","2,039","±455","8.0%","±1.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","7,624","±554","29.8%","±2.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","6,567","±587","25.7%","±2.1"
"        Average household size","2.48","±0.01","(X)","(X)","2.55","±0.08","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.12","±0.09","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","65,139","±249","65,139","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","25,582","±820","39.3%","±1.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","11,380","±665","17.5%","±1.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,538","±331","2.4%","±0.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","16,563","±1,160","25.4%","±1.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","6,117","±752","9.4%","±1.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","3,959","±686","6.1%","±1.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","27,107","±1,053","27,107","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","11,525","±1,039","42.5%","±2.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","13,535","±673","49.9%","±2.8"
"        Separated","37,600","±1,670","1.3%","±0.1","318","±203","1.2%","±0.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","262","±148","1.0%","±0.5"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,467","±339","5.4%","±1.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","27,592","±910","27,592","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","9,615","±926","34.8%","±2.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","12,930","±807","46.9%","±3.2"
"        Separated","55,256","±1,859","1.8%","±0.1","580","±255","2.1%","±0.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","2,143","±429","7.8%","±1.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","2,324","±475","8.4%","±1.6"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","1,058","±302","1,058","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","34","±37","3.2%","±3.7"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","4","±4","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","61","±18","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±32","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","47","±21","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","91","±33","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","1,447","±329","1,447","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","540","±184","37.3%","±12.9"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","75","±76","5.2%","±5.4"
"            1 or 2 years","6,316","±677","5.0%","±0.5","176","±133","12.2%","±9.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","62","±76","4.3%","±5.5"
"            5 or more years","13,647","±1,024","10.9%","±0.8","227","±105","15.7%","±7.4"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","540","±184","540","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","380","±156","70.4%","±14.8"
"        Who are married","19,550","±1,487","64.5%","±2.5","329","±129","60.9%","±18.1"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","14,952","±1,159","14,952","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","697","±306","4.7%","±2.1"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","773","±290","5.2%","±1.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","4,746","±804","31.7%","±5.2"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","2,281","±526","15.3%","±3.4"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","6,455","±986","43.2%","±4.9"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
