"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01741!!Estimate","ZCTA5 01741!!Margin of Error","ZCTA5 01741!!Percent","ZCTA5 01741!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,800","±168","1,800","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,297","±158","72.1%","±5.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","535","±98","29.7%","±6.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","110","±71","6.1%","±3.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","20","±22","1.1%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","156","±88","8.7%","±5.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±19","0.0%","±2.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","113","±73","6.3%","±3.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","61","±44","3.4%","±2.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","237","±100","13.2%","±5.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","20","±22","1.1%","±1.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","196","±95","10.9%","±4.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","139","±76","7.7%","±4.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","652","±85","36.2%","±7.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","716","±113","39.8%","±4.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.90","±0.27","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.31","±0.30","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","5,215","±27","5,215","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,800","±168","34.5%","±3.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,275","±158","24.4%","±3.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","110","±70","2.1%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,657","±274","31.8%","±5.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","334","±375","6.4%","±7.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","39","±52","0.7%","±1.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,128","±180","2,128","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","532","±142","25.0%","±5.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,398","±132","65.7%","±6.7"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±19","0.0%","±1.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","55","±37","2.6%","±1.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","143","±84","6.7%","±3.8"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,991","±161","1,991","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","376","±106","18.9%","±4.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,355","±118","68.1%","±5.8"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±19","0.0%","±2.0"
