"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01746!!Estimate","ZCTA5 01746!!Margin of Error","ZCTA5 01746!!Percent","ZCTA5 01746!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,354","±220","5,354","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,559","±211","66.5%","±4.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,578","±160","29.5%","±3.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","210","±108","3.9%","±2.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","46","±43","0.9%","±0.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","635","±231","11.9%","±4.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","17","±19","0.3%","±0.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","459","±199","8.6%","±3.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","241","±113","4.5%","±2.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","950","±287","17.7%","±5.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","106","±57","2.0%","±1.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","508","±202","9.5%","±3.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","308","±119","5.8%","±2.1"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,783","±153","33.3%","±3.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,752","±235","32.7%","±3.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.68","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.05","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","14,327","±271","14,327","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,354","±220","37.4%","±1.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,531","±212","24.6%","±1.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","216","±107","1.5%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,838","±294","33.8%","±1.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","241","±99","1.7%","±0.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","147","±111","1.0%","±0.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,833","±287","5,833","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,505","±245","25.8%","±3.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,685","±228","63.2%","±4.5"
"        Separated","37,600","±1,670","1.3%","±0.1","10","±15","0.2%","±0.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","124","±59","2.1%","±1.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","509","±268","8.7%","±4.5"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","5,864","±293","5,864","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,259","±242","21.5%","±3.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,604","±205","61.5%","±4.7"
"        Separated","55,256","±1,859","1.8%","±0.1","92","±75","1.6%","±1.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","530","±234","9.0%","±3.8"
"        Divorced","324,764","±4,024","10.7%","±0.1","379","±118","6.5%","±1.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","80","±54","80","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±21","0.0%","±36.7"
