"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01821!!Estimate","ZCTA5 01821!!Margin of Error","ZCTA5 01821!!Percent","ZCTA5 01821!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","11,664","±455","11,664","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","6,960","±473","59.7%","±3.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,863","±325","24.5%","±2.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","842","±320","7.2%","±2.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","28","±30","0.2%","±0.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,649","±307","14.1%","±2.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","225","±171","1.9%","±1.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","736","±180","6.3%","±1.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","222","±95","1.9%","±0.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,213","±375","19.0%","±3.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","147","±87","1.3%","±0.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,206","±237","10.3%","±1.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","745","±205","6.4%","±1.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,654","±362","31.3%","±3.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,633","±353","31.1%","±2.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.70","±0.08","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.09","±0.08","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","31,453","±1,051","31,453","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","11,664","±455","37.1%","±1.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","6,954","±447","22.1%","±1.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","964","±396","3.1%","±1.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","9,060","±656","28.8%","±1.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","2,240","±435","7.1%","±1.4"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","571","±232","1.8%","±0.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","13,213","±677","13,213","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","4,575","±575","34.6%","±3.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","7,360","±447","55.7%","±3.2"
"        Separated","37,600","±1,670","1.3%","±0.1","213","±172","1.6%","±1.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","257","±97","1.9%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","808","±222","6.1%","±1.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","13,584","±680","13,584","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","3,955","±521","29.1%","±3.2"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","7,240","±479","53.3%","±3.7"
"        Separated","55,256","±1,859","1.8%","±0.1","120","±157","0.9%","±1.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,022","±202","7.5%","±1.4"
