"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02045!!Estimate","ZCTA5 02045!!Margin of Error","ZCTA5 02045!!Percent","ZCTA5 02045!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","4,380","±239","4,380","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,089","±169","47.7%","±4.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","579","±131","13.2%","±3.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","363","±113","8.3%","±2.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","60","±45","1.4%","±1.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","478","±122","10.9%","±2.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","7","±17","0.2%","±0.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","429","±110","9.8%","±2.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","210","±75","4.8%","±1.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,450","±241","33.1%","±4.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","80","±39","1.8%","±0.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,057","±199","24.1%","±3.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","471","±114","10.8%","±2.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","871","±158","19.9%","±3.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,773","±242","40.5%","±4.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.31","±0.12","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.01","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","10,120","±27","10,120","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","4,380","±239","43.3%","±2.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,102","±167","20.8%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","350","±102","3.5%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,618","±319","25.9%","±3.1"
"        Other relatives","394,812","±8,541","5.9%","±0.1","425","±205","4.2%","±2.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","245","±116","2.4%","±1.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,997","±197","3,997","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,336","±199","33.4%","±4.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,148","±184","53.7%","±4.0"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±21","0.0%","±1.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","78","±43","2.0%","±1.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","435","±137","10.9%","±3.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","5,057","±221","5,057","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,396","±249","27.6%","±4.2"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,168","±164","42.9%","±4.5"
"        Separated","55,256","±1,859","1.8%","±0.1","144","±91","2.8%","±1.8"
"        Widowed","239,073","±3,906","7.9%","±0.1","450","±137","8.9%","±2.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","899","±206","17.8%","±3.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","84","±69","84","(X)"
