"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01834!!Estimate","ZCTA5 01834!!Margin of Error","ZCTA5 01834!!Percent","ZCTA5 01834!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,532","±169","2,532","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,523","±167","60.2%","±8.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","647","±155","25.6%","±7.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","184","±97","7.3%","±3.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","62","±79","2.4%","±3.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","199","±110","7.9%","±4.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","15","±23","0.6%","±0.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","147","±108","5.8%","±4.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","88","±77","3.5%","±3.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","626","±208","24.7%","±7.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","54","±56","2.1%","±2.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","436","±190","17.2%","±6.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","163","±89","6.4%","±3.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","812","±146","32.1%","±7.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","863","±197","34.1%","±8.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.66","±0.18","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.17","±0.20","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","6,739","±18","6,739","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,532","±169","37.6%","±2.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,510","±162","22.4%","±2.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","192","±101","2.8%","±1.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,305","±217","34.2%","±3.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","186","±111","2.8%","±1.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","14","±24","0.2%","±0.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,592","±261","2,592","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","771","±250","29.7%","±7.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,543","±161","59.5%","±8.5"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±19","0.0%","±1.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","50","±41","1.9%","±1.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","228","±111","8.8%","±4.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,878","±219","2,878","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","731","±249","25.4%","±7.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,563","±154","54.3%","±7.3"
"        Separated","55,256","±1,859","1.8%","±0.1","11","±17","0.4%","±0.6"
"        Widowed","239,073","±3,906","7.9%","±0.1","268","±121","9.3%","±4.2"
"        Divorced","324,764","±4,024","10.7%","±0.1","305","±134","10.6%","±4.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","78","±60","78","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","0.0%","±37.2"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±63","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","58","±44","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±351","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","98","±90","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","27","±45","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","97","±83","97","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±19","0.0%","±32.4"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±32.4"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±19","0.0%","±32.4"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","0.0%","±32.4"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±19","0.0%","±32.4"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±19","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±19","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±19","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,467","±238","1,467","(X)"
