"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01355!!Estimate","ZCTA5 01355!!Margin of Error","ZCTA5 01355!!Percent","ZCTA5 01355!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","413","±75","413","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","254","±73","61.5%","±9.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","45","±21","10.9%","±5.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","14","±11","3.4%","±2.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","6","±6","1.5%","±1.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","50","±19","12.1%","±5.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","4","±5","1.0%","±1.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","39","±18","9.4%","±4.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","9","±8","2.2%","±1.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","95","±32","23.0%","±7.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","15","±14","3.6%","±3.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","35","±17","8.5%","±4.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","32","±15","7.7%","±3.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","86","±30","20.8%","±7.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","133","±31","32.2%","±7.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.45","±0.29","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.78","±0.34","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,010","±223","1,010","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","413","±75","40.9%","±4.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","241","±75","23.9%","±4.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","11","±9","1.1%","±0.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","256","±96","25.3%","±6.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","63","±61","6.2%","±5.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","26","±21","2.6%","±2.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","522","±153","522","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","180","±77","34.5%","±10.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","285","±112","54.6%","±11.1"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±7.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","3","±4","0.6%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","54","±26","10.3%","±5.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","415","±81","415","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","51","±21","12.3%","±5.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","251","±75","60.5%","±10.2"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±9.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","29","±18","7.0%","±4.3"
"        Divorced","324,764","±4,024","10.7%","±0.1","84","±30","20.2%","±6.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","0","±13","0","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","-","**"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±452","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","0","±317","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±718","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±701","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±436","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","16","±18","16","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","16","±18","100.0%","±82.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","16","±18","100.0%","±82.2"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±82.3"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±82.3"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±82.3"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","16","±18","16","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","16","±18","100.0%","±82.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±13","0.0%","±82.3"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","206","±82","206","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","8","±10","3.9%","±5.0"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","2","±4","1.0%","±1.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","59","±27","28.6%","±13.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","108","±67","52.4%","±17.6"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","29","±19","14.1%","±8.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","784","±195","784","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","9","±7","1.1%","±0.9"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","12","±10","1.5%","±1.3"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","212","±63","27.0%","±7.6"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","216","±129","27.6%","±10.7"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","90","±45","11.5%","±4.1"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","140","±33","17.9%","±5.4"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","105","±27","13.4%","±4.5"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","763","±195","97.3%","±1.6"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","245","±42","31.3%","±8.2"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","851","±196","851","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","66","±30","7.8%","±3.8"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","1,010","±223","1,010","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","133","±35","13.2%","±3.8"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","159","±71","159","(X)"
