"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01527!!Estimate","ZCTA5 01527!!Margin of Error","ZCTA5 01527!!Percent","ZCTA5 01527!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,165","±286","5,165","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,810","±273","54.4%","±4.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,050","±163","20.3%","±3.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","492","±180","9.5%","±3.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","101","±74","2.0%","±1.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","761","±255","14.7%","±4.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","60","±73","1.2%","±1.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","467","±190","9.0%","±3.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","224","±145","4.3%","±2.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,102","±201","21.3%","±3.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","223","±99","4.3%","±1.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","623","±151","12.1%","±2.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","446","±130","8.6%","±2.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,646","±183","31.9%","±3.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,745","±236","33.8%","±4.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.65","±0.15","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.06","±0.18","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","13,673","±74","13,673","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,165","±286","37.8%","±2.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,842","±260","20.8%","±1.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","492","±174","3.6%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,012","±280","29.3%","±2.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","810","±422","5.9%","±3.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","352","±259","2.6%","±1.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,532","±384","5,532","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,773","±335","32.0%","±5.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,889","±279","52.2%","±4.7"
"        Separated","37,600","±1,670","1.3%","±0.1","32","±38","0.6%","±0.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","280","±149","5.1%","±2.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","558","±187","10.1%","±3.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","6,189","±336","6,189","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,870","±381","30.2%","±5.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,905","±262","46.9%","±5.6"
"        Separated","55,256","±1,859","1.8%","±0.1","68","±66","1.1%","±1.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","362","±115","5.8%","±1.9"
"        Divorced","324,764","±4,024","10.7%","±0.1","984","±262","15.9%","±3.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","87","±62","87","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±21","0.0%","±34.9"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±21","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","27","±19","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±72","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","54","±49","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","18","±19","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","347","±159","347","(X)"
