"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01001!!Estimate","ZCTA5 01001!!Margin of Error","ZCTA5 01001!!Percent","ZCTA5 01001!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","6,791","±345","6,791","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,959","±265","43.6%","±4.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","874","±173","12.9%","±2.6"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","726","±232","10.7%","±3.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","196","±129","2.9%","±1.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,156","±222","17.0%","±3.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","48","±55","0.7%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","843","±207","12.4%","±3.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","367","±146","5.4%","±2.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,950","±314","28.7%","±4.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","344","±153","5.1%","±2.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,352","±293","19.9%","±3.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","833","±265","12.3%","±3.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,563","±228","23.0%","±3.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,494","±326","36.7%","±4.0"
"        Average household size","2.48","±0.01","(X)","(X)","2.30","±0.08","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.92","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","15,640","±842","15,640","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","6,791","±345","43.4%","±1.6"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,994","±297","19.1%","±1.8"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","722","±240","4.6%","±1.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,030","±489","25.8%","±2.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","764","±302","4.9%","±1.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","339","±167","2.2%","±1.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","6,720","±460","6,720","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,395","±320","35.6%","±3.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,208","±312","47.7%","±4.0"
"        Separated","37,600","±1,670","1.3%","±0.1","44","±52","0.7%","±0.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","238","±102","3.5%","±1.5"
"        Divorced","227,113","±4,005","8.0%","±0.1","835","±201","12.4%","±3.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","6,916","±490","6,916","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,731","±343","25.0%","±4.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,228","±303","46.7%","±4.4"
"        Separated","55,256","±1,859","1.8%","±0.1","136","±116","2.0%","±1.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","689","±206","10.0%","±2.8"
