"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02066!!Estimate","ZCTA5 02066!!Margin of Error","ZCTA5 02066!!Percent","ZCTA5 02066!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","7,412","±377","7,412","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","4,201","±265","56.7%","±4.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,590","±225","21.5%","±3.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","188","±92","2.5%","±1.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","48","±45","0.6%","±0.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,068","±359","14.4%","±4.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","91","±88","1.2%","±1.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","869","±326","11.7%","±4.1"
"                65 years and over","102,147","±2,741","3.8%","±0.1","335","±136","4.5%","±1.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,955","±318","26.4%","±3.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","177","±122","2.4%","±1.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,129","±314","15.2%","±3.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","802","±234","10.8%","±3.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,277","±268","30.7%","±4.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,165","±362","42.7%","±4.1"
"        Average household size","2.48","±0.01","(X)","(X)","2.51","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.05","±0.14","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","18,609","±177","18,609","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","7,412","±377","39.8%","±2.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","4,170","±261","22.4%","±1.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","170","±79","0.9%","±0.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,531","±464","29.7%","±2.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,053","±287","5.7%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","273","±150","1.5%","±0.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","7,459","±375","7,459","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,115","±359","28.4%","±3.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","4,531","±264","60.7%","±4.4"
"        Separated","37,600","±1,670","1.3%","±0.1","111","±111","1.5%","±1.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","221","±99","3.0%","±1.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","481","±155","6.4%","±2.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","8,344","±469","8,344","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,988","±455","23.8%","±4.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","4,352","±263","52.2%","±4.1"
"        Separated","55,256","±1,859","1.8%","±0.1","103","±102","1.2%","±1.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","975","±253","11.7%","±3.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","926","±250","11.1%","±2.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","128","±59","128","(X)"
