"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02116!!Estimate","ZCTA5 02116!!Margin of Error","ZCTA5 02116!!Percent","ZCTA5 02116!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","11,707","±597","11,707","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,397","±308","29.0%","±2.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","657","±114","5.6%","±1.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","955","±184","8.2%","±1.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","41","±42","0.4%","±0.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,062","±424","26.2%","±3.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","24","±36","0.2%","±0.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,642","±369","22.6%","±2.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","368","±102","3.1%","±0.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,293","±464","36.7%","±3.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","236","±125","2.0%","±1.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","3,293","±397","28.1%","±3.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","835","±204","7.1%","±1.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,025","±158","8.8%","±1.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,559","±321","21.9%","±2.6"
"        Average household size","2.48","±0.01","(X)","(X)","1.71","±0.05","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.48","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","19,967","±1,014","19,967","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","11,707","±597","58.6%","±1.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,361","±299","16.8%","±1.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","986","±190","4.9%","±0.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,297","±403","11.5%","±1.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","483","±170","2.4%","±0.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,133","±265","5.7%","±1.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","9,614","±676","9,614","(X)"
