"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01532!!Estimate","ZCTA5 01532!!Margin of Error","ZCTA5 01532!!Percent","ZCTA5 01532!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,662","±223","5,662","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,823","±280","67.5%","±4.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,822","±225","32.2%","±3.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","226","±123","4.0%","±2.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","29","±30","0.5%","±0.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","491","±118","8.7%","±2.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","53","±42","0.9%","±0.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","315","±83","5.6%","±1.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","92","±51","1.6%","±0.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,122","±234","19.8%","±4.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","221","±135","3.9%","±2.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","560","±161","9.9%","±2.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","313","±112","5.5%","±1.9"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,211","±216","39.0%","±3.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,421","±177","25.1%","±2.9"
"        Average household size","2.48","±0.01","(X)","(X)","2.73","±0.10","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.03","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","15,430","±92","15,430","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,662","±223","36.7%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,761","±264","24.4%","±1.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","256","±154","1.7%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,892","±338","31.7%","±2.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","412","±163","2.7%","±1.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","447","±308","2.9%","±2.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,994","±358","5,994","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,460","±257","24.4%","±3.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","4,101","±270","68.4%","±4.3"
"        Separated","37,600","±1,670","1.3%","±0.1","20","±23","0.3%","±0.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","30","±35","0.5%","±0.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","383","±213","6.4%","±3.5"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","6,860","±374","6,860","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,831","±512","26.7%","±6.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,885","±280","56.6%","±5.9"
"        Separated","55,256","±1,859","1.8%","±0.1","76","±60","1.1%","±0.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","503","±134","7.3%","±2.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","565","±181","8.2%","±2.6"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","101","±59","101","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","23","±35","22.8%","±29.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","13","±20","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","27","±16","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±77","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","57","±47","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","18","±16","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","144","±82","144","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±21","0.0%","±23.9"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±23.9"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±23.9"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±21","0.0%","±23.9"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±21","0.0%","±23.9"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±21","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±21","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±21","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","3,883","±366","3,883","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","346","±132","8.9%","±3.3"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","160","±78","4.1%","±2.1"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,791","±280","46.1%","±5.7"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","857","±179","22.1%","±4.6"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","729","±205","18.8%","±4.4"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","11,028","±301","11,028","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","76","±68","0.7%","±0.6"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","179","±91","1.6%","±0.8"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,411","±248","12.8%","±2.3"
