"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02140!!Estimate","ZCTA5 02140!!Margin of Error","ZCTA5 02140!!Percent","ZCTA5 02140!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","9,437","±554","9,437","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,137","±342","33.2%","±3.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,302","±213","13.8%","±2.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,076","±199","11.4%","±2.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","42","±43","0.4%","±0.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,230","±443","23.6%","±4.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","21","±26","0.2%","±0.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,546","±301","16.4%","±3.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","359","±130","3.8%","±1.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,994","±369","31.7%","±3.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","311","±128","3.3%","±1.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,957","±326","20.7%","±3.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","647","±162","6.9%","±1.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,781","±253","18.9%","±2.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,962","±281","20.8%","±2.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.12","±0.07","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.91","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","19,965","±1,217","19,965","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","9,437","±554","47.3%","±1.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,229","±346","16.2%","±1.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,106","±205","5.5%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,838","±513","19.2%","±2.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","452","±191","2.3%","±0.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,903","±316","9.5%","±1.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","8,708","±854","8,708","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","4,450","±679","51.1%","±4.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,510","±389","40.3%","±4.2"
"        Separated","37,600","±1,670","1.3%","±0.1","89","±99","1.0%","±1.2"
"        Widowed","65,484","±1,934","2.3%","±0.1","146","±76","1.7%","±0.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","513","±174","5.9%","±1.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","9,103","±740","9,103","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","4,518","±527","49.6%","±3.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,370","±355","37.0%","±3.4"
"        Separated","55,256","±1,859","1.8%","±0.1","24","±29","0.3%","±0.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","435","±150","4.8%","±1.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","756","±191","8.3%","±2.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","168","±79","168","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","53","±62","31.5%","±29.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","12","±15","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","27","±13","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±80","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","16","±12","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","51","±35","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","30","±26","30","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","15","±25","50.0%","±50.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±25","0.0%","±60.1"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±25","0.0%","±60.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","15","±25","50.0%","±50.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±25","0.0%","±60.1"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","15","±25","15","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","15","±25","100.0%","±84.9"
"        Who are married","19,550","±1,487","64.5%","±2.5","15","±25","100.0%","±84.9"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","4,140","±544","4,140","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","247","±99","6.0%","±2.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","163","±87","3.9%","±2.0"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,142","±255","27.6%","±6.1"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","830","±238","20.0%","±4.9"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","1,758","±374","42.5%","±5.8"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","15,422","±939","15,422","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","363","±246","2.4%","±1.6"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","312","±153","2.0%","±1.0"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,276","±287","8.3%","±1.9"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,061","±248","6.9%","±1.5"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","300","±117","1.9%","±0.8"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","4,174","±457","27.1%","±2.5"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","7,936","±705","51.5%","±3.2"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","14,747","±910","95.6%","±1.6"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","12,110","±866","78.5%","±2.7"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","17,095","±1,080","17,095","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","367","±117","2.1%","±0.7"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","20,026","±1,216","20,026","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","1,482","±287","7.4%","±1.4"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","2,931","±393","2,931","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","6","±13","0.2%","±0.4"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","14,630","±950","14,630","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","743","±229","5.1%","±1.5"
"    65 years and over","1,122,280","±664","1,122,280","(X)","2,465","±359","2,465","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","733","±179","29.7%","±5.3"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","19,929","±1,231","19,929","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","14,890","±1,006","74.7%","±2.9"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","5,039","±705","25.3%","±2.9"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","4,611","±693","23.1%","±3.0"
"                Same county","446,141","±8,933","6.4%","±0.1","1,826","±362","9.2%","±1.6"
"                Different county","354,693","±6,215","5.1%","±0.1","2,785","±529","14.0%","±2.5"
"                    Same state","205,752","±5,091","3.0%","±0.1","1,280","±345","6.4%","±1.7"
"                    Different state","148,941","±3,990","2.2%","±0.1","1,505","±407","7.6%","±1.9"
"            Abroad","61,536","±2,941","0.9%","±0.1","428","±204","2.1%","±1.0"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","20,060","±1,215","20,060","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","13,829","±1,011","68.9%","±3.8"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","13,135","±1,016","65.5%","±3.8"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","5,525","±596","27.5%","±2.7"
"                Different state","1,398,292","±9,460","20.0%","±0.1","7,610","±780","37.9%","±3.3"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","694","±277","3.5%","±1.4"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","6,231","±925","31.1%","±3.8"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","6,231","±925","6,231","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","2,783","±725","44.7%","±7.1"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","3,448","±512","55.3%","±7.1"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","6,925","±931","6,925","(X)"
"        Native","209,292","±4,176","209,292","(X)","694","±277","694","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","107","±80","15.4%","±10.4"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","587","±253","84.6%","±10.4"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","6,231","±925","6,231","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","2,975","±527","47.7%","±5.8"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","3,256","±645","52.3%","±5.8"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","6,231","±925","6,231","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","1,100","±281","17.7%","±4.6"
"        Asia","372,717","±3,581","30.8%","±0.3","3,038","±706","48.8%","±7.5"
"        Africa","113,823","±3,313","9.4%","±0.3","852","±284","13.7%","±4.1"
"        Oceania","4,098","±490","0.3%","±0.1","61","±49","1.0%","±0.8"
"        Latin America","456,601","±7,328","37.7%","±0.5","1,020","±384","16.4%","±5.3"
"        Northern America","28,855","±1,370","2.4%","±0.1","160","±110","2.6%","±1.8"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","19,283","±1,208","19,283","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","12,815","±1,076","66.5%","±4.2"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","6,468","±959","33.5%","±4.2"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","2,182","±561","11.3%","±2.7"
"        Spanish","623,189","±4,858","9.4%","±0.1","522","±210","2.7%","±1.1"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","100","±92","0.5%","±0.5"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","3,575","±791","18.5%","±3.7"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","1,109","±470","5.8%","±2.3"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","1,248","±313","6.5%","±1.6"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","548","±180","2.8%","±0.9"
"        Other languages","99,560","±3,943","1.5%","±0.1","1,123","±331","5.8%","±1.7"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","425","±244","2.2%","±1.3"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","20,060","±1,215","20,060","(X)"
"        American","260,364","±6,504","3.7%","±0.1","366","±136","1.8%","±0.7"
"        Arab","72,487","±3,641","1.0%","±0.1","157","±75","0.8%","±0.4"
"        Czech","12,119","±1,098","0.2%","±0.1","37","±43","0.2%","±0.2"
"        Danish","14,346","±1,162","0.2%","±0.1","82","±53","0.4%","±0.3"
"        Dutch","34,354","±1,922","0.5%","±0.1","176","±113","0.9%","±0.6"
"        English","655,283","±8,406","9.4%","±0.1","2,084","±399","10.4%","±1.9"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","567","±200","2.8%","±1.0"
"        French Canadian","235,524","±4,384","3.4%","±0.1","239","±133","1.2%","±0.7"
"        German","387,135","±7,027","5.5%","±0.1","1,759","±370","8.8%","±1.7"
"        Greek","76,566","±3,218","1.1%","±0.1","224","±105","1.1%","±0.5"
"        Hungarian","19,068","±1,432","0.3%","±0.1","71","±56","0.4%","±0.3"
"        Irish","1,345,219","±11,619","19.2%","±0.2","2,686","±433","13.4%","±2.1"
"        Italian","815,794","±9,186","11.7%","±0.1","1,242","±289","6.2%","±1.4"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","83","±53","0.4%","±0.3"
