"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01860!!Estimate","ZCTA5 01860!!Margin of Error","ZCTA5 01860!!Percent","ZCTA5 01860!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,589","±201","2,589","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,412","±229","54.5%","±8.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","490","±125","18.9%","±4.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","283","±179","10.9%","±7.1"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","139","±167","5.4%","±6.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","345","±163","13.3%","±5.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","13","±21","0.5%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","288","±155","11.1%","±5.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","137","±105","5.3%","±3.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","549","±164","21.2%","±5.9"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","74","±56","2.9%","±2.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","386","±136","14.9%","±4.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","196","±80","7.6%","±3.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","735","±139","28.4%","±6.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","941","±229","36.3%","±8.1"
"        Average household size","2.48","±0.01","(X)","(X)","2.58","±0.20","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.08","±0.22","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","6,672","±27","6,672","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,589","±201","38.8%","±3.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,412","±231","21.2%","±3.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","268","±183","4.0%","±2.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,866","±257","28.0%","±3.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","372","±223","5.6%","±3.3"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","165","±105","2.5%","±1.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,713","±259","2,713","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","751","±232","27.7%","±8.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,556","±274","57.4%","±8.4"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±19","0.0%","±1.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","37","±35","1.4%","±1.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","369","±145","13.6%","±5.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,868","±256","2,868","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","813","±252","28.3%","±8.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,473","±235","51.4%","±8.6"
"        Separated","55,256","±1,859","1.8%","±0.1","22","±25","0.8%","±0.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","161","±100","5.6%","±3.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","399","±168","13.9%","±5.4"
