"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01085!!Estimate","ZCTA5 01085!!Margin of Error","ZCTA5 01085!!Percent","ZCTA5 01085!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","15,608","±509","15,608","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","7,644","±418","49.0%","±2.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,592","±312","16.6%","±2.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,199","±292","7.7%","±1.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","423","±195","2.7%","±1.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,442","±429","15.6%","±2.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","156","±92","1.0%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,774","±389","11.4%","±2.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","441","±163","2.8%","±1.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,323","±410","27.7%","±2.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","651","±193","4.2%","±1.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,586","±326","16.6%","±1.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,446","±230","9.3%","±1.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","4,271","±304","27.4%","±2.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","5,160","±386","33.1%","±2.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.47","±0.08","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.05","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","38,503","±408","38,503","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","15,608","±509","40.5%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","7,640","±432","19.8%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,172","±270","3.0%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","10,994","±701","28.6%","±1.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","2,490","±592","6.5%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","599","±170","1.6%","±0.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","17,127","±610","17,127","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","7,240","±614","42.3%","±2.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","8,147","±404","47.6%","±2.7"
"        Separated","37,600","±1,670","1.3%","±0.1","222","±112","1.3%","±0.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","213","±99","1.2%","±0.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,305","±248","7.6%","±1.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","18,309","±629","18,309","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","6,071","±508","33.2%","±2.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","8,026","±416","43.8%","±2.4"
"        Separated","55,256","±1,859","1.8%","±0.1","224","±131","1.2%","±0.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,752","±300","9.6%","±1.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","2,236","±393","12.2%","±2.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","482","±192","482","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","145","±126","30.1%","±21.1"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","22","±19","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","48","±19","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","1","±2","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","87","±37","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","20","±20","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","796","±251","796","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","321","±158","40.3%","±16.5"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","40","±45","5.0%","±5.8"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±28","0.0%","±4.9"
"            3 or 4 years","5,630","±671","4.5%","±0.5","77","±84","9.7%","±11.2"
"            5 or more years","13,647","±1,024","10.9%","±0.8","204","±153","25.6%","±16.9"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","321","±158","321","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","208","±103","64.8%","±13.3"
"        Who are married","19,550","±1,487","64.5%","±2.5","217","±155","67.6%","±28.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","11,636","±781","11,636","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","446","±126","3.8%","±1.1"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","353","±158","3.0%","±1.4"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","3,651","±579","31.4%","±3.9"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","2,193","±384","18.8%","±3.1"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","4,993","±494","42.9%","±3.7"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","28,013","±687","28,013","(X)"
