"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01053!!Estimate","ZCTA5 01053!!Margin of Error","ZCTA5 01053!!Percent","ZCTA5 01053!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","712","±156","712","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","175","±47","24.6%","±7.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","39","±21","5.5%","±3.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","39","±39","5.5%","±5.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","28","±36","3.9%","±5.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","153","±96","21.5%","±12.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","11","±17","1.5%","±2.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","76","±53","10.7%","±7.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","7","±10","1.0%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","345","±135","48.5%","±13.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","0","±13","0.0%","±5.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","197","±60","27.7%","±9.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","119","±55","16.7%","±8.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","88","±43","12.4%","±6.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","336","±137","47.2%","±14.0"
"        Average household size","2.48","±0.01","(X)","(X)","2.19","±0.51","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.86","±0.73","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,561","±576","1,561","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","712","±156","45.6%","±11.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","165","±44","10.6%","±5.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","52","±53","3.3%","±3.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","560","±450","35.9%","±17.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","72","±47","4.6%","±3.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","0","±13","0.0%","±2.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","799","±186","799","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","417","±153","52.2%","±10.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","218","±65","27.3%","±8.2"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±4.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","32","±27","4.0%","±3.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","132","±75","16.5%","±9.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,111","±555","1,111","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","509","±449","45.8%","±21.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","180","±56","16.2%","±11.3"
"        Separated","55,256","±1,859","1.8%","±0.1","100","±123","9.0%","±7.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","167","±83","15.0%","±10.8"
"        Divorced","324,764","±4,024","10.7%","±0.1","155","±57","14.0%","±10.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","0","±13","0","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","-","**"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±81","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","0","±77","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±633","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±100","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±341","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","20","±15","20","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","10","±14","50.0%","±50.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±73.6"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±73.6"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±73.6"
"            5 or more years","13,647","±1,024","10.9%","±0.8","10","±14","50.0%","±50.0"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","10","±14","10","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","10","±14","100.0%","±100.0"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±13","0.0%","±100.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","558","±454","558","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","0","±13","0.0%","±6.9"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","0","±13","0.0%","±6.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","106","±57","19.0%","±23.6"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","65","±48","11.6%","±14.4"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","387","±450","69.4%","±33.6"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","1,466","±251","1,466","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","11","±14","0.8%","±0.9"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","20","±24","1.4%","±1.6"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","448","±159","30.6%","±8.7"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","209","±82","14.3%","±5.7"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","79","±57","5.4%","±3.9"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","399","±181","27.2%","±10.0"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","300","±84","20.5%","±6.6"
