"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01524!!Estimate","ZCTA5 01524!!Margin of Error","ZCTA5 01524!!Percent","ZCTA5 01524!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,180","±240","2,180","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,190","±198","54.6%","±8.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","398","±183","18.3%","±8.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","149","±78","6.8%","±3.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","38","±43","1.7%","±2.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","425","±209","19.5%","±8.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±19","0.0%","±1.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","314","±200","14.4%","±8.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","185","±148","8.5%","±6.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","416","±154","19.1%","±6.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","57","±48","2.6%","±2.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","263","±133","12.1%","±6.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","136","±90","6.2%","±4.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","590","±188","27.1%","±9.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","685","±174","31.4%","±6.9"
"        Average household size","2.48","±0.01","(X)","(X)","2.71","±0.39","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.29","±0.43","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","5,917","±699","5,917","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,180","±240","36.8%","±5.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,157","±182","19.6%","±2.8"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","142","±75","2.4%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,829","±466","30.9%","±5.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","474","±328","8.0%","±5.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","135","±104","2.3%","±1.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,599","±289","2,599","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,074","±210","41.3%","±5.9"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,182","±185","45.5%","±7.3"
"        Separated","37,600","±1,670","1.3%","±0.1","63","±99","2.4%","±3.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","64","±51","2.5%","±1.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","216","±117","8.3%","±4.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,671","±289","2,671","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","925","±205","34.6%","±6.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,252","±223","46.9%","±7.4"
"        Separated","55,256","±1,859","1.8%","±0.1","41","±48","1.5%","±1.8"
"        Widowed","239,073","±3,906","7.9%","±0.1","124","±78","4.6%","±2.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","329","±104","12.3%","±3.8"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","0","±19","0","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","-","**"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±43","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","0","±26","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±132","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±68","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±60","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","171","±115","171","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","106","±97","62.0%","±33.5"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±20.7"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±19","0.0%","±20.7"
"            3 or 4 years","5,630","±671","4.5%","±0.5","32","±51","18.7%","±28.8"
"            5 or more years","13,647","±1,024","10.9%","±0.8","74","±82","43.3%","±34.8"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","106","±97","106","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","53","±49","50.0%","±2.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","106","±97","100.0%","±30.4"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,812","±514","1,812","(X)"
