"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01879!!Estimate","ZCTA5 01879!!Margin of Error","ZCTA5 01879!!Percent","ZCTA5 01879!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","4,053","±285","4,053","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,693","±218","66.4%","±5.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,082","±183","26.7%","±5.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","198","±95","4.9%","±2.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","43","±53","1.1%","±1.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","431","±134","10.6%","±2.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","27","±42","0.7%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","311","±118","7.7%","±2.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","95","±61","2.3%","±1.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","731","±184","18.0%","±4.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","231","±132","5.7%","±3.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","396","±139","9.8%","±3.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","199","±96","4.9%","±2.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,543","±203","38.1%","±6.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,071","±177","26.4%","±3.6"
"        Average household size","2.48","±0.01","(X)","(X)","3.07","±0.21","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.52","±0.24","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","12,436","±90","12,436","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","4,053","±285","32.6%","±2.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,702","±197","21.7%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","198","±93","1.6%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,566","±455","36.7%","±3.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","701","±256","5.6%","±2.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","216","±137","1.7%","±1.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,225","±382","5,225","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,839","±354","35.2%","±5.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,063","±225","58.6%","±4.8"
"        Separated","37,600","±1,670","1.3%","±0.1","69","±63","1.3%","±1.2"
"        Widowed","65,484","±1,934","2.3%","±0.1","37","±37","0.7%","±0.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","217","±112","4.2%","±2.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","5,063","±356","5,063","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,367","±293","27.0%","±4.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,972","±220","58.7%","±4.5"
"        Separated","55,256","±1,859","1.8%","±0.1","23","±37","0.5%","±0.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","272","±116","5.4%","±2.2"
"        Divorced","324,764","±4,024","10.7%","±0.1","429","±126","8.5%","±2.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","179","±149","179","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±21","0.0%","±19.9"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±26","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","60","±48","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±67","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","69","±66","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","76","±85","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","417","±206","417","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","21","±34","5.0%","±8.7"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±9.1"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±9.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±21","0.0%","±9.1"
"            5 or more years","13,647","±1,024","10.9%","±0.8","21","±34","5.0%","±8.7"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","21","±34","21","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","21","±34","100.0%","±71.8"
"        Who are married","19,550","±1,487","64.5%","±2.5","21","±34","100.0%","±71.8"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","3,641","±589","3,641","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","235","±252","6.5%","±6.2"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","55","±57","1.5%","±1.6"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,466","±386","40.3%","±7.8"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","907","±224","24.9%","±7.5"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","978","±268","26.9%","±6.6"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","8,230","±497","8,230","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","103","±66","1.3%","±0.8"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","231","±104","2.8%","±1.2"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,769","±380","21.5%","±4.0"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,402","±323","17.0%","±3.8"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","873","±240","10.6%","±2.7"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","2,486","±408","30.2%","±4.8"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","1,366","±346","16.6%","±4.4"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","7,896","±487","95.9%","±1.6"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","3,852","±501","46.8%","±6.3"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","9,680","±511","9,680","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","449","±150","4.6%","±1.6"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","12,442","±91","12,442","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","1,233","±249","9.9%","±2.0"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","2,762","±499","2,762","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","97","±65","3.5%","±2.4"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","8,085","±475","8,085","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","772","±196","9.5%","±2.4"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,595","±259","1,595","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","364","±146","22.8%","±7.5"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","12,386","±91","12,386","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","11,813","±312","95.4%","±2.3"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","573","±288","4.6%","±2.3"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","573","±288","4.6%","±2.3"
"                Same county","446,141","±8,933","6.4%","±0.1","355","±259","2.9%","±2.1"
"                Different county","354,693","±6,215","5.1%","±0.1","218","±131","1.8%","±1.1"
"                    Same state","205,752","±5,091","3.0%","±0.1","138","±110","1.1%","±0.9"
"                    Different state","148,941","±3,990","2.2%","±0.1","80","±69","0.6%","±0.6"
"            Abroad","61,536","±2,941","0.9%","±0.1","0","±21","0.0%","±0.3"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","12,454","±87","12,454","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","10,938","±393","87.8%","±3.2"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","10,806","±449","86.8%","±3.6"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","8,811","±536","70.7%","±4.3"
"                Different state","1,398,292","±9,460","20.0%","±0.1","1,995","±433","16.0%","±3.5"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","132","±117","1.1%","±0.9"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","1,516","±393","12.2%","±3.2"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","1,516","±393","1,516","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","947","±272","62.5%","±12.4"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","569","±269","37.5%","±12.4"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","1,648","±449","1,648","(X)"
"        Native","209,292","±4,176","209,292","(X)","132","±117","132","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","88","±98","66.7%","±44.0"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","44","±66","33.3%","±44.0"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","1,516","±393","1,516","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","400","±251","26.4%","±12.4"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","1,116","±263","73.6%","±12.4"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","1,516","±393","1,516","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","200","±114","13.2%","±7.0"
"        Asia","372,717","±3,581","30.8%","±0.3","826","±296","54.5%","±12.0"
"        Africa","113,823","±3,313","9.4%","±0.3","46","±62","3.0%","±4.2"
"        Oceania","4,098","±490","0.3%","±0.1","0","±21","0.0%","±2.6"
"        Latin America","456,601","±7,328","37.7%","±0.5","422","±183","27.8%","±9.9"
"        Northern America","28,855","±1,370","2.4%","±0.1","22","±26","1.5%","±1.8"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","11,925","±280","11,925","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","9,989","±511","83.8%","±4.1"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","1,936","±491","16.2%","±4.1"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","707","±302","5.9%","±2.5"
"        Spanish","623,189","±4,858","9.4%","±0.1","231","±138","1.9%","±1.2"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","89","±90","0.7%","±0.8"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","1,173","±402","9.8%","±3.3"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","495","±211","4.2%","±1.8"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","471","±265","3.9%","±2.2"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","123","±161","1.0%","±1.3"
"        Other languages","99,560","±3,943","1.5%","±0.1","61","±74","0.5%","±0.6"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","0","±21","0.0%","±0.3"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","12,454","±87","12,454","(X)"
"        American","260,364","±6,504","3.7%","±0.1","135","±98","1.1%","±0.8"
"        Arab","72,487","±3,641","1.0%","±0.1","37","±61","0.3%","±0.5"
"        Czech","12,119","±1,098","0.2%","±0.1","48","±54","0.4%","±0.4"
"        Danish","14,346","±1,162","0.2%","±0.1","37","±60","0.3%","±0.5"
"        Dutch","34,354","±1,922","0.5%","±0.1","64","±55","0.5%","±0.4"
"        English","655,283","±8,406","9.4%","±0.1","887","±338","7.1%","±2.7"
