"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01605!!Estimate","ZCTA5 01605!!Margin of Error","ZCTA5 01605!!Percent","ZCTA5 01605!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","11,626","±644","11,626","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,105","±339","26.7%","±3.2"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,255","±291","10.8%","±2.6"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,476","±338","12.7%","±2.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","677","±245","5.8%","±1.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,302","±455","19.8%","±3.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","236","±211","2.0%","±1.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,564","±373","13.5%","±3.1"
"                65 years and over","102,147","±2,741","3.8%","±0.1","512","±163","4.4%","±1.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,743","±501","40.8%","±3.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,229","±222","10.6%","±1.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,559","±476","22.0%","±3.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,373","±423","11.8%","±3.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,777","±454","32.5%","±3.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,126","±475","26.9%","±3.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.52","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.29","±0.12","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","29,283","±1,791","29,283","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","11,626","±644","39.7%","±1.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,062","±342","10.5%","±1.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,377","±260","4.7%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","9,715","±1,074","33.2%","±2.3"
"        Other relatives","394,812","±8,541","5.9%","±0.1","2,248","±546","7.7%","±1.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,255","±438","4.3%","±1.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","11,536","±1,004","11,536","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","5,790","±768","50.2%","±3.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,777","±393","32.7%","±3.9"
"        Separated","37,600","±1,670","1.3%","±0.1","341","±209","3.0%","±1.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","367","±142","3.2%","±1.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,261","±333","10.9%","±2.7"
