"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01464!!Estimate","ZCTA5 01464!!Margin of Error","ZCTA5 01464!!Percent","ZCTA5 01464!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,345","±181","2,345","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,438","±174","61.3%","±7.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","498","±133","21.2%","±6.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","181","±107","7.7%","±4.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","11","±18","0.5%","±0.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","433","±183","18.5%","±7.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±19","0.0%","±1.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","370","±185","15.8%","±7.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","162","±120","6.9%","±4.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","293","±115","12.5%","±4.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","36","±34","1.5%","±1.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","188","±96","8.0%","±4.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","135","±89","5.8%","±3.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","612","±115","26.1%","±5.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","807","±219","34.4%","±8.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.53","±0.17","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.07","±0.23","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","5,939","±216","5,939","(X)"
