"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01607!!Estimate","ZCTA5 01607!!Margin of Error","ZCTA5 01607!!Percent","ZCTA5 01607!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,916","±376","3,916","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,187","±275","30.3%","±6.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","440","±163","11.2%","±4.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","340","±148","8.7%","±3.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","45","±48","1.1%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,065","±270","27.2%","±6.4"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","24","±31","0.6%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","672","±214","17.2%","±5.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","174","±104","4.4%","±2.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,324","±288","33.8%","±6.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","152","±98","3.9%","±2.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","815","±242","20.8%","±5.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","251","±119","6.4%","±3.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","761","±190","19.4%","±4.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","911","±180","23.3%","±4.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.25","±0.15","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.17","±0.25","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","8,816","±1,113","8,816","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,916","±376","44.4%","±3.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,222","±279","13.9%","±2.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","323","±137","3.7%","±1.6"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,124","±424","24.1%","±3.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","703","±366","8.0%","±3.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","528","±378","6.0%","±4.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,823","±579","3,823","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,858","±496","48.6%","±8.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,368","±297","35.8%","±7.3"
"        Separated","37,600","±1,670","1.3%","±0.1","71","±55","1.9%","±1.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","96","±93","2.5%","±2.5"
