"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01702!!Estimate","ZCTA5 01702!!Margin of Error","ZCTA5 01702!!Percent","ZCTA5 01702!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","14,810","±566","14,810","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","6,150","±489","41.5%","±3.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,837","±449","19.2%","±3.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,210","±277","8.2%","±1.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","406","±203","2.7%","±1.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,251","±510","22.0%","±3.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","174","±99","1.2%","±0.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,493","±432","16.8%","±2.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","652","±226","4.4%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,199","±435","28.4%","±2.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,101","±260","7.4%","±1.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,079","±377","14.0%","±2.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,076","±261","7.3%","±1.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","4,966","±472","33.5%","±3.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,424","±415","23.1%","±2.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.46","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.09","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","36,401","±1,372","36,401","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","14,810","±566","40.7%","±1.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","6,185","±474","17.0%","±1.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,210","±269","3.3%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","10,158","±975","27.9%","±2.1"
"        Other relatives","394,812","±8,541","5.9%","±0.1","2,278","±583","6.3%","±1.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,760","±586","4.8%","±1.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","15,748","±922","15,748","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","6,814","±813","43.3%","±3.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","7,088","±579","45.0%","±3.5"
"        Separated","37,600","±1,670","1.3%","±0.1","274","±126","1.7%","±0.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","44","±34","0.3%","±0.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,528","±359","9.7%","±2.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","16,000","±734","16,000","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","6,261","±696","39.1%","±3.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","6,609","±464","41.3%","±3.1"
"        Separated","55,256","±1,859","1.8%","±0.1","306","±120","1.9%","±0.8"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,283","±279","8.0%","±1.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,541","±314","9.6%","±1.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","418","±171","418","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","108","±88","25.8%","±17.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","18","±15","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","41","±16","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","8","±17","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","42","±20","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","50","±33","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","449","±210","449","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","125","±120","27.8%","±23.6"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±28","0.0%","±8.5"
"            1 or 2 years","6,316","±677","5.0%","±0.5","68","±76","15.1%","±16.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","57","±86","12.7%","±17.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±28","0.0%","±8.5"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","125","±120","125","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","45","±52","36.0%","±17.1"
"        Who are married","19,550","±1,487","64.5%","±2.5","95","±106","76.0%","±34.9"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","9,959","±949","9,959","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","580","±247","5.8%","±2.3"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","689","±278","6.9%","±2.7"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","3,299","±453","33.1%","±4.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,879","±480","18.9%","±4.2"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","3,512","±565","35.3%","±4.7"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","26,343","±1,015","26,343","(X)"
