"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01082!!Estimate","ZCTA5 01082!!Margin of Error","ZCTA5 01082!!Percent","ZCTA5 01082!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","4,689","±278","4,689","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,034","±274","43.4%","±6.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","516","±137","11.0%","±3.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","289","±110","6.2%","±2.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","94","±84","2.0%","±1.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,041","±217","22.2%","±4.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","108","±108","2.3%","±2.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","815","±195","17.4%","±3.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","166","±91","3.5%","±1.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,325","±271","28.3%","±5.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","440","±197","9.4%","±4.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","687","±172","14.7%","±3.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","278","±111","5.9%","±2.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,362","±203","29.0%","±4.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,279","±171","27.3%","±3.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.23","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.80","±0.19","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","10,436","±113","10,436","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","4,689","±278","44.9%","±2.6"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,930","±260","18.5%","±2.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","283","±102","2.7%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,810","±444","26.9%","±4.3"
"        Other relatives","394,812","±8,541","5.9%","±0.1","536","±208","5.1%","±2.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","188","±134","1.8%","±1.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","4,323","±388","4,323","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,487","±307","34.4%","±5.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,149","±289","49.7%","±6.1"
"        Separated","37,600","±1,670","1.3%","±0.1","64","±57","1.5%","±1.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","84","±70","1.9%","±1.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","539","±175","12.5%","±4.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","4,349","±294","4,349","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,291","±288","29.7%","±5.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,968","±267","45.3%","±6.7"
"        Separated","55,256","±1,859","1.8%","±0.1","61","±50","1.4%","±1.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","474","±151","10.9%","±3.3"
"        Divorced","324,764","±4,024","10.7%","±0.1","555","±192","12.8%","±4.3"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","75","±59","75","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","33","±38","44.0%","±44.6"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","22","±26","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","33","±26","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±106","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","64","±55","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","8","±12","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","232","±125","232","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","129","±96","55.6%","±21.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±15.8"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±15.8"
"            3 or 4 years","5,630","±671","4.5%","±0.5","27","±38","11.6%","±17.8"
"            5 or more years","13,647","±1,024","10.9%","±0.8","102","±94","44.0%","±26.6"
